Problem: Airpods
**Candidate:** Uh,   so   to   me,   uh,   I-   I'm   an   Apple   fanboy.   Um,   and,   you   know,   the-   since   when   I   first   got   the   Apple   AirPods,   you   know,   you   just   open   them   up   and   it   says   connect   and   it's   just   magic.   So,   you   know,   you   have   the   hardware,   but   then   it's   also   leveraging   the   iOS   software   to   connect   between   all   your   devices.   So,   that   seamless   interactivity   or   interactiveness   between,   you   know,   switching   between   all   of   your   devices,   um,   it   just   works.   And   I   feel   like   that's   kind   of   the   Apple   mantra,   where   they're   just   simple   and   intuitive   and   you   don't   have   to   really   think   about   it,   right?   It's   just   in   the   back   of   your   mind.   You   just   know   that   they're   working,   you   don't   really   have   to   think   about,   uh,   you   know,   switching   between   all   of   your   devices.  
**Candidate:** Gotcha.   Um,   cool.   So,   you   know,   you-   you   love   the   Apple   ecosystem,   is   what   I'm   hearing.   Like,   a   lot   of   the   big   part   about   Apple   to   you   is   that,   like,   it's   Apple   and   you-   it   works   with   pretty   much   everything   that   you   do.  
**Candidate:** Yeah.  
**Candidate:** Um,   what   do   you   think   about   the   AirPods?   Like,   w-   w-   where   do   you   see   it   going   in   the   next   few   years?   Like,   what-   or   what   do   you   see   the   value   out   of   it?   You   know,   a   lot   of   people   kind   of   think   it   looks   silly.   A   lot   of   people   think   that   maybe   it's   just   like   kind   of   a   gimmick.   Maybe   Bluetooth   headphones   are   really   frustrating   because   they   die,   unlike   these   headphones   that   we're   using   right   now.  
**Candidate:** Yeah.  
**Candidate:** Is   there-   is   there...   Why-   why-   why   do   you   believe   in   the   Apple   AirPod?   Or   what-   what   do   you   see   as   the   future   of   the   Apple   AirPods   being?  
**Candidate:** Um,   so   I   think   one   of   the,   uh,   main   critiques   of   the   Apple   AirPods   right   now   is   kind   of   sound   quality.   So,   you   know,   if   you're   an   audiophile   and   the   like,   you're   like,   "Uh,   I   don't   really   want   those,"   right?   Like,   you   know,   maybe   they're-   they're   nice   and   they're   intuitive,   they're   easy   to   use,   but,   you   know,   I-   I   don't,   uh,   I   don't   think   the   sound   quality   is   that   great.   So,   I   think,   you   know,   one   thing,   um,   you   know,   that   Apple   will   end   up   doing   in   the   future   is   trying   to,   you   know,   leverage   more   research   and   technology   to   improve,   um,   the   audio   quality   for   people   who   may   already   be   on   the   fence   about   them,   because   they   can   go   somewhere   else   and   get   something,   you   know,   relatively   in   the   same   price   range   with   better   audio   quality.   So,   I   think   that   that's   one   thing,   um,   that   I   see   them   doing   in   the   future,   is   trying   to   appease   some   of   the   audiophiles,   uh,   in   that   market.  
**Candidate:** Gotcha.   So-   so   quality   is   great,   and,   you   know,   I-   I   think   it's   an   important   way   to   improve   the   product.   Um,   do   you   imagine   that   in   the   future   everyone   will   have   one   of   these   AirPods?   Um,   and-   and   will   it   just   be   kind   of   playing   the   music   in   the   ear,   or   what-   what   else   will   those   AirPods   do?  
**Candidate:** So,   I   think,   um,   you   know,   continuing   in   the   future,   if,   uh,   if   you   have   already-   if   you're   already   in   the   Apple   ecosystem,   that   would   be   like   a   natural   transition   for   users   to   those   air-   uh,   you   know,   those   Bluetooth   AirPods,   just   because,   you   know,   they   work   with   all   of   your   devices,   right?   So,   like,   you   know,   the   other   night,   my-...   fiancé   was   in   bed,   you   know,   she   was   going   to   bed   early   and   I'd   just   connect   them   to   my   Apple   TV,   you   know,   continue   watching,   uh,   you   know,   TV   and   the   like.   So,   I   feel   like   if   you're   an   Apple   user   already   in   that   ecosystem,   that   gives   you   that   extra   incentive   to,   you   know,   eventually   make   the   jump   to,   uh,   you   know,   the   Bluetooth   AirPods.  
**Candidate:** Cool.   Cool.   Um,   okay,   and   then,   you   know,   so   kind   of   s-   switching   gears   a   little   bit   to   the   second   part   of   the   question,   um-  
**Candidate:** Mm-hmm.  
**Candidate:** ...   how   would   you   improve   that   product?   So,   what   do   you   think,   where   does   it   fall   short   right   now?   Or,   what,   you   know,   you,   you   must   use   it   a   lot,   where   are   your   frustrations?  
**Candidate:** So,   um,   my   frustrations   for   it,   uh,   or   for   them,   are,   uh,   it-   they   fit   in   some   people's   ears   better   than   others,   right?   So,   what   they're   trying   to   do   is   this   kind   of   catchall,   like,   "Hey,   one   size   fits   all   for   the   AirPods,"   but   that's   not   necessarily   the   case   for   everybody.   I   mean,   you   know,   not   everybody,   uh,   you   know,   the   AirPods   work   better   for   some   people   than   they   do   other,   based   off   of,   you   know,   kind   of,   I   guess   for   lack   of   a   better   term,   the   dimensions   of   the   ears,   right?   So,   sometimes   I   have   trouble,   they'll   fall   out   every   once   in   a   while   if   I'm   jogging   or   s-   you   know,   something   like   that,   or   exercising.   But   I   think   one   thing   that   they   can   do   is   to,   you   know,   make   it   so   that,   you   know,   they,   uh,   you   know,   they're   fit   better   into   more   people's   ears.  
**Candidate:** Gotcha,   and,   and   how   would   you   think   about   doing   that?   So,   there's   a   few   approaches   I   can   imagine.   They   could   use,   like,   a   different   material   in   the   ear   that   kind   of,   like,   form   fits   to   the   ear.   But   then,   they   could   also   do   things   like,   um,   sell   different   ear   shape   sizes   or,   you   know,   uh,   is   there   a   way   that   you   envision   them   tackling   that   problem   in   the   future?   Or   how   would   you   tackle   that   problem   or   think   about   tackling   that   problem?  
**Candidate:** Yeah,   so,   I   mean,   I've   even   Googled   it   myself,   like,   right?   And,   you   know,   people   had   these   kind   of   hacky   workarounds   where   maybe   they   add,   like,   little   pieces   of,   uh,   I   think   it   was   kind   of   like,   uh,   uh,   plastic   that   kind   of,   like,   sticks   to   the   top   of   them   so   that   they   stick   in   your   ears   better.   But   I   think,   um,   I   don't   think   it   would   be,   uh,   uh,   in   the   Apple   way   of   kind   of   just   releasing,   like,   "Hey,   you   know,   here's   all   these   adjustable   ones   that   you   can   do."   Um,   but,   you   know,   maybe   that   is   a   route,   where,   you   know,   you,   you   have   the   AirPods   and   then   you   can   buy,   you   know,   these,   like,   adjustable   pieces   based   off   of,   you   know,   how   they   would,   uh,   what   would   fit   best   in   your   ears.  
**Candidate:** Gotcha.   Um,   and,   and   so,   you   know,   you've,   you   clearly   use   the   product,   uh,   and   you   know   how   it   works,   so   what   would   you   think   if   Apple   one   day   came   up   with   this   idea   that,   um,   they   can   3D   print   your   ear,   they   can   scan   your   ear,   and   then-  
**Candidate:** (laughs)  
**Candidate:** ...   create,   create   an   ear   pod   that's   the   perfect   size   for   you.  
**Candidate:** Yeah.  
**Candidate:** Um,   what   are   your   thoughts?   Like,   good   idea,   bad   idea?   Would   that   be   a   good,   like,   what   kind   of   direction   would   that   be   for   Apple?  
**Candidate:** You   know,   I,   I,   I   think   that,   um,   you   know,   to   people   who   are   in   the   Apple   ecosystem   and   the   fanboys,   like,   Apple   does   no   wrong,   right?   So,   there   will   be,   um,   I   think   some   (laughs)   of   those   outliers   where   you   go   into   an   Apple   Store   and   you   make   an   appointment   and   they   scan   your   ear   and,   you   know,   like,   "Hey,"   and   you   spit   out   your   AirPods,   right?   And   I   think   that   that   would   probably   be   one   of   the   craziest   ideas   that   they've   ever   had,   but   I   definitely   see   a   fan   base   that   would   totally   do   that,   and   (laughs) ,   like,   it's   a   doctor's   appointment   but   you're   going   into   the   Apple   Store,   right?   So,   I   think   that   would   be   crazy,   but   people,   if   you're   already   in   the   Apple   ecosystem,   it,   it   would,   you   would   do   it   in   a   heartbeat.  
**Candidate:** So,   so,   would   it,   do   you   think   it   should   be   something   on   Apple's   radar?   Like,   if   you   had   to   make   the   call   about,   like,   someone   comes   up   to   you   with   this   project   and   they're   like,   "Hey,   we   think   that   this   is   a   good   idea,   what   do   you   think   as   the   product   manager   on   this   product?"   Um,   why,   or   what   would,   like,   you   know,   maybe   you   don't   have   a   clear   consideration   now,   but   what   factors   would   you   use   to   consider   making   that   decision,   um,   depending,   you   know?  
**Candidate:** Um,   factors   for   3D   printing   your   ear,   right?   So...  
**Candidate:** Sure.   Yeah.  
**Candidate:** Is   that   what   you're   asking?   Yeah.   Um...  
**Candidate:** Yeah,   basically,   like,   factors   for,   for   deciding   whether   or   not   to   launch   that   product,   or   that   feature   basically.   You   know,   you're   right   that   it   involves   a   lot   of,   like,   people   going   into-  
**Candidate:** Yeah.  
**Candidate:** ...   some   kind   of   facility   where   they   can   get   that   thing   scanned   and,   you   know,   this   is   probably   five   years   in   the   future-  
**Candidate:** (laughs)  
**Candidate:** ...   that   even   happens,   but   who   knows   with   Apple?   Um,   but,   so,   so,   you   know,   just,   just   walk   me   through,   like,   how   you   would   think   about   whether   or   not   to   greenlight   that   project.   And,   y-   you   know,   maybe   the   idea   that   it   does   take,   like,   three   years   to   actually   build   out   this   whole   thing,   so   it   takes   a   lot   of-  
**Candidate:** Yeah.  
**Candidate:** ...   r-   research   and   development   work.   So,   if   we   want   to   do   something-  
**Candidate:** Mm-hmm.  
**Candidate:** ...   in   this   direction   we   should   decide   something   now.   What's   your,   what's   your   take?  
**Candidate:** Um,   you   know,   first   thing   I   would   probably   do   is,   uh,   you   know,   send,   send   out   a,   uh,   survey   to,   you   know,   current,   like,   users,   uh,   you   know,   Apple   users.   Like,   "Hey,   you   know,   do   you   have   AirPods?"   Like,   you   know,   "How   do   they,   what   are   some   of   your   shortcomings   with   them?"   Like   if   they,   you   know,   fall   out   of   your   ears,   you   know,   and   the   like.   And,   um,   you   know,   and   just   kind   of   get   a   feel   for,   um,   you   know,   whatever   they're,   you   know,   if   they're   experiencing   some   of   those   pain   points,   right,   with,   you   know,   the   AirPods   falling   out   of   their   ears.   Um,   and   then,   you   know,   so   I   would   do   that   survey.   Um,   and   you   know,   I   really   don't   have   a,   a   great   answer   for   that   (laughs)   past   that   point.  
**Candidate:** Cool,   no   problem.  
**Candidate:** (laughs)  
**Candidate:** Um,   cool.   So,   we're   pretty   much   done   with   the,   the   interview   at   this   point,   it's   just   a   simple,   short   question   and   then   we'll   go   on   to   feedback   and   kind   of   discussing   the   question   a   little   bit   more-  
**Candidate:** Thank   you.  
**Candidate:** ...   um,   in   a   more   casual   manner.   But   is   there   anything   else   you   wanted   to   add   about   AirPods,   about   your   answer   in   general?  
**Candidate:** I   don't   think   so.  
**Candidate:** Okay,   cool.   Um,   cool.   So,   we're   done   with   that,   um,   for   the   people   who   are   watching   either   now   or   later,   um,   this   is   a   PMLesson.com   live   interview.   So,   we   are   interviewing   folks   live,   so,   that   it's   an   educational   experience   and   helping   people,   uh,   better   ace   their   product   management   interview.   Um,   I'm   with   Dallas,   I'm   Steven,   I'm   with   Dallas,   um,   this   is,   uh,   we're   talking   about   Apple   AirPods   as   the   favorite   product   here.  
**Candidate:** (laughs)  
**Candidate:** Um,   so,   Dall-   so,   so,   overall   I   think   you   had   a   solid   answer   in   terms   of   you   really   knew   the   product   well,   like,   I   could   tell   that,   the   fact   that   you,   I   smiled   when   you   said   that   you   Googled   about   the   product,   uh-  
**Candidate:** (laughs)  
**Candidate:** ...   or   about   the   product,   it's   like,   "Okay,   this   guy,   like,   clearly   uses   the   product.   He   knows,   um,   how   this   product   works   and..."Um,   and   I   think   it's   a   great   starting   point.   A   big   mistake   a   lot   of   people   make   is   that   they   start   with   something   ...   a   product   they   don't   even   know,   and   it's,   like,   ugh.   Like,   it's   very   clear   very   soon   why,   um,   wh-   why   did   you   pick   that   question.  
**Candidate:** Yeah.  
**Candidate:** I   would   say   that,   you   know,   you,   you   talked   a   little   bit   about   the   ecosystem   and   about   quality.   Uh,   or   sorry,   you   talked   about   ecosystem   and   kind   of,   like,   the   branding   and,   like,   Apple   just   has   such   a   powerful   grip   on   the   industry   that,   like,   m-   adding   this   headphone   p-   component   is   just   an   obvious   extension   of   Apple.   Um-  
**Candidate:** Yeah.  
**Candidate:** ...   and   I   think   one   thing   that   wou-   would   be   really   important   to   mention   in   your   interview   answer   is   the   backlash   that   was   received   when   Apple   released   their   AirPods   and   deleted   the   headphone   jack.   Um,   so,   like,   the   headphone   jack   was,   like,   a   huge   complaint   for   a   lot   of   people,   and   maybe   that   doesn't   touch-  
**Candidate:** Yeah.  
**Candidate:** ...   on,   like,   you   know,   AirPods   itself,   but   it's   certainly   a   shift   in   the   market   for   the   Bluetooth   headphone.  
**Candidate:** Yeah.  
**Candidate:** Um,   that   a   lot   of   users   are   very   frustrated   about   still.   So,   it's   worth   bringing   that   up,   I   would   say.   Um,   I,   I   think   the   other   thing   that   I   would   mention   is   just   it's   pretty   clear   that   Apple   has   a   strong   grip   on   the,   on   the   ecosystem,   on,   on   its   ecosystem   and   that,   you   know,   its   branding   is   great.   Most   of   us   know   that   as   an   interviewer,   so   you're   not   really   telling   me   anything   new,   uh,   so   it   would   be   awesome   if   you   could   convince   me   of   something   that   I   don't   already   know   in   your   interview   answer.   Or,   or   kind   of,   like,   tell   me   something   new.   So,   cool,   Apple's   great   at   everything.   They   can   launch   anything   they   want.   They   can   launch,   like,   a,   a,   who   knows,   like,   a   toilet   and   people   And,   like,   a   prosthetic   arm   or   something,   right?   Yeah.   Right.   But  
**Candidate:** If   people   cut   off   their   arms   to   buy   those.  
**Candidate:** ...   my   question   to   you   ...   (laughs)   Yeah,   honestly.   Like,   they're   already   pin   leg   and   arm   or   whatever   that   expression   is.   Um-  
**Candidate:** Yeah.  
**Candidate:** ...   I   would   say   that,   you   know,   really   convince   me   of   why   Apple   decided   to   do   headphones,   right?   Because   Apple   could   have   done   a   Google   Home   competitor.   Apple   could   have   done,   um,   its   own   TV   brand   or   something,   you   know.   There's   a   lot   of   things   that   Apple   could   do   in   its   ecosystem,   but   why   was   headphones   the   right   next   step   for   them?   Uh,   and   why   now?   Um,   'cause   basically,   you   know,   your   statement   that,   like,   Apple   can   do   anything   is   great,   but   it   doesn't   justify   exactly   this   product.   Um,   so   I   would   love   to   see   a   little   more   justification   and,   and   just   to   give   you   a   sense   of,   like,   what   might   be   an   interesting   s-   way   to   go   is,   um,   you   know,   you   talked   about   fit   as   being   something   that   im-   can   be   improved,   and   I   think   that's   absolutely   right   and   we'll   talk   about   that   a   little   bit   later,   but   I   think   another   really   interesting   trend   in,   um,   the   world   right   now   is   voice   assistant   technology.   Um-  
**Candidate:** Yeah.  
**Candidate:** ...   so   you   could   say   that,   like,   AirPods   are   the   step   for   Apple   to   get   smarts   in   your   ear,   um,   and,   you   know,   maybe   the   AirPods   work   without   the   iPhone   or   the   iPhone's   in   your   pocket   and   the   AirPods   can   do   things   like   navigate   you.   Um,   they   can   do   things   like   answer   questions,   you   know,   with   Siri,   'cause   Siri   is   so   powerful.   So,   you   know,   really   weaving   in   the   other...   So,   like,   yeah.   Even   if   your   approach   is   that   it's   the   ecosystem   approach,   tell   me   h-   how   Apple's   ecosystem   will   crush   it   in   this   product.   And   Siri   is,   like,   a   great-  
**Candidate:** Yeah.  
**Candidate:** ...   way   to   think   about   it,   right?   Like,   Siri   is   a   huge   Apple,   like,   branding   and   also   just,   like,   a   great   product   that   Apple   has   created,   you   know,   um,   maybe   some   disagree,   that,   like,   they   can   put   directly   in   your   ear.   Um-  
**Candidate:** Yeah.  
**Candidate:** ...   so,   you   know,   the   fact   that   Apple   has   such   a   powerful   voice   assistant   and   now   earphones   is   like,   they   have   the   hardware   and   software   juices   to   make   something   really   special   happen.  
**Candidate:** Yeah.  
**Candidate:** Um,   so,   so   overall,   I'm   just   trying   to   give   you   some,   like,   spices   and   flavors   that-  
**Candidate:** Mm-hmm.  
**Candidate:** ...   hopefully   add   some   things   to   your,   your,   um,   your   answer.   Um,   I   think   it   was   good,   but   I,   I   just   wish   there   was   a   little   bit   more,   you   took   me   a   little   bit   further   down   the   rou-   line   with,   like,   some   really-  
**Candidate:** Yeah.  
**Candidate:** ...   innovative   stuff.   Um-  
**Candidate:** Would   you-  
**Candidate:** So-  
**Candidate:** ...   uh   ...  
**Candidate:** Yeah,   go   ahead.  
**Candidate:** Oh,   no.   I   was   gonna   ask-  
**Candidate:** Yeah,   feel   free   to   ask   questions.   Go   ahead.  
**Candidate:** Yeah.   So,   uh,   you   know,   I   guess   would   it   be   beneficial,   like,   so   you   know   how,   like,   Google   tried   to   do   their,   like,   Pixel   AirPod   thing   type   things,   right?   And   they   just,   to   me,   as   far   as,   like,   my   point   of   view,   they   haven't   really   taken   off   like   the   AirPods   have,   right?   You   think   it'd   be   beneficial   to,   like,   throw   that   in?   It's   like,   hey,   Google   tried   to   do   this,   but,   you   know,   the   ...   it   wasn't,   like,   as   seamless   or   as,   um,   magical,   right,   as,   you   know,   what   Apple   had   ended   up   doing   with   the   AirPods.   'Cause,   you   know,   I   think   there's,   like,   one   extra   step   with   those,   like,   Pixel   Buds   that   they   did,   but   they   just   never   really   caught   on   like   the   Apple   version   of   that   did.  
**Candidate:** Yeah.   One   thing   that-  
**Candidate:** Do   you   think   they   would-  
**Candidate:** A   way   that   I   would   phrase   kind   of   what   you're   saying,   like,   the,   the   ...   What's   ...   So,   so   one   thing   that   I,   and   I   also   just   believe   about   the   industry   is   that,   like,   at   the   end   of   the   day,   AirPods   are   kind   of   a   fashion   product,   right?   Like,   um,   in   the   very   early   iPod   ads,   you   used   to   see,   like,   the   black   shadows   and   then,   like,   the,   the   white   earbuds,   you   know?   Kind   of   a   dancing   around-  
**Candidate:** Yeah.  
**Candidate:** ...   kind   of   thing.  
**Candidate:** Mm-hmm.  
**Candidate:** Um,   and   Apple   knows   fashion.   Apple   is,   in   many   ways,   some   people   claim   it   to   be   a   fashion   company   at   its   core.   Um-  
**Candidate:** Yeah.  
**Candidate:** ...   and   the   fact   that   Apple   makes   an   ...   I-   it's   not   surprising   maybe   that   Apple   can   make   a   fashionable,   well-branded   earphone,   AirPod   that   out   beats-  
**Candidate:** Mm-hmm.  
**Candidate:** ...   its   competitors.   Um,   and   keep   in   mind,   it   also   has   Beats   by   Dre.   It   also   owns   Beats   by   Dre,   so,   like,   you   know,   it,   it   really   has   a   lot   of   headphone   maybe   know-how   and,   and   branding   know-how   and,   and   power   kind   of   behind   its   brand   now-  
**Candidate:** Yeah.  
**Candidate:** ...   um,   in   the   music   space.   So,   so,   yeah,   I   would,   I   would   say   that   it   seems   to   me   to,   like   ...   That   at   least   in   terms   of   virality   and   perhaps   the   Google   earbuds   are   not   any   better   or   worse,   but   just   Apple   has   more   branding   power   to   make   that   thing   happen.  
**Candidate:** Yeah.   I   agree.  
**Candidate:** Um,   so   yeah.   That'd   be   how   maybe   one   way   to   phrase   kind   of,   like,   how   Apple   is,   is,   uh,   dominating   the   space.  
**Candidate:** Differentiated   itself.  
**Candidate:** Um,   yeah.   Exactly.   I   mean,   there's,   there's   certainly   other   things   you   could   talk   about.   There's   Apple   Music.   Um,   you   know,   what   are   all   the,   like,   audio-only   kind   of   platforms   that   Apple   has?   Um,   so   the   other   ...   So   then   I   just   wanted   to   talk   a   little   bit   about   the   improve   part   of   the   question   too,   and   then   we   can   just   kick   it   to,   like,   any   questions   and   audience,   you   know,   whoever's   watching,   feel   free   to   give   comments.   Um,   we   might   not   have   as   many   viewers   right   now   'cause   it's   kind   of   during   the   West   Coast   workday   and   that's   where   a   lot   of   people   are,   but,   um,   anyways,   so-The   improve   part,   I   think   fit   is   awesome.   Um,   I   think,   you   know,   we   talked   about   some   interesting   ideas.   Um,   I   would   say   that,   you   know,   we   definitely   could   have,   I   could   have   heard   more   firmness   in   your   answers,   like,   you   were   kind   of   a   little   wishy-washy   in   your   answers.  
**Candidate:** Oh,   yeah.  
**Candidate:** So,   it   would   have   been   nice   to   hear,   like,   "Okay,   like,   this   is   what   I   think,"   or,   like,   "This   is   what   I   should   do,"   you   know?  
**Candidate:** Mm-hmm.  
**Candidate:** Um,   anything   that   would   have   really   kind   of,   like,   kicked   your   answer   up   a   notch.   Um,   so   for   example,   with   the   ear,   with,   like,   the   crazy   idea   that   you're   scanning   ears,   um,   you   know,   maybe   you,   the   important   element   there   is   that   it's   a   privacy   thing.   Like,   is   it   okay   for   Apple   to   have   data   of   people's   ears   like   that?   Like,   that's   kind   of   weird   and   that   kind   of   pushes   it   a   little   bit,   right?  
**Candidate:** Yeah.  
**Candidate:** Um,   I   would,   I   would   basically,   like,   take   this   interview   question,   which   is   kind   of   amorphous,   pick   an   element   of   it,   and   really   drill   into   it.   Like,   really,   like,   tell   me,   okay,   so   privacy.   Let's   talk   about   privacy.   Or   let's   talk   about,   um,   the   operational   cost   of   this.   Like,   maybe   that's   just   not   feasible   for   Apple   right   now.   Like,   we   can't   just   have   people   going   in,   getting   their   ear   scanned,   like,   all   that   kind   of   stuff.   Or-   or   tell   me   that   it   is   possible   because   we're   gonna   pay   an   agency   to   do   this,   and   there   are   similar   agencies   out   there,   and   that   the-   the-   the   desire   for   this   product   will   be   amazing.   Or   maybe   if   the   desire's   not   even,   like,   amazing,   the   fact   that   a   user   can   get   an   earphone   that's   exactly   fitting   to   their   ear,   that   customer...  
**Candidate:** Mm-hmm.  
**Candidate:** ...   is   gonna   stay   a   customer   with   us   for   a   long,   long   time,   right?  
**Candidate:** Yeah.  
**Candidate:** Because   they   just   got,   like,   a   human   customized   device   for   them.  
**Candidate:** (laughs)  
**Candidate:** Um,   so   maybe   ...   So,   that's   crazy.   Like,   that's   like,   wow.  
**Candidate:** Yeah.  
**Candidate:** Like,   that's   awesome.   I-   I   would   never   throw   that   away,   you   know?   Um...  
**Candidate:** Yeah.  
**Candidate:** So,   basically,   uh,   just,   like,   uh,   what   I   would   do   is   you   don't   want   to   address   all   of   these   necessarily,   but   pick   one   or   two,   really   tell   me   about   them,   like,   give   me   some   rich   information.  
**Candidate:** Yeah.  
**Candidate:** Spend   this   interview   question,   like,   telling   me   things   that   I   don't   already   know   and   impressing   me   with   kind   of   your   insights   and   your   knowledge.   Um,   so   again,   I   just   felt   like   you   could   have   gone   a   little   bit   further   and   a   little   tighter   in   your   answers   instead   of   as   wi-   wishy-washy,   um,   but   understand   that   it's,   like,   kind   of   a   wo-   out   there   idea,   so-   so   no-   no   worries   at   all.   Also   -  
**Candidate:** No,   I   loved   it.  
**Candidate:** Yeah.  
**Candidate:** I   mean,   it's   not   too   far   from   what,   you   know,   music-   musicians   do,   right?   So,   it's   like,   hey.   And   they're   already   in   the   audio   space,   so...  
**Candidate:** Yeah.   So-   so,   you   know,   when   ...   And-   and   for   you   and   for   all   the   people   watching   too,   like,   when   you   think   about   this   question,   make   sure   that   you're,   um,   thinking   in   the   future   five-   five   years   ahead   and-   and-   and   wh-   where   you   think   this   product   will   go.   Um,   so,   you   know,   fit   is   a   great   answer   to   that,   but   tell   me,   like,   fit   and   this   is   how   we're   gonna   get   to   that   fit.   Like,   this   is   our   approach,   or   this   is   the   cool   approach   that   I'm   thinking   of   that   Apple   could   do.  
**Candidate:** Okay.  
**Candidate:** Um,   cool.   So-   so   that's   pretty   much   it   in   terms   of   feedback.   Like,   overall,   you   know,   I   gave   you   a   lot   of   feedback,   but   overall,   you   did   a   great   job.   Um,   uh,   again,   like,   a   great   job   picking   something   you   really   know   well.  
**Candidate:** Mm-hmm.  
**Candidate:** And   you   do   have   core   insights   that   I   think   are   real.   Like,   the   fact   that   Apple   owns   that   much   of   an   ecosystem   is   why   this   product   can   be   so   successful,   um,   and   there's   so   many   evidence   to   point   to   that.   Um,   so-   so   great   job   overall   with   this   question.  
**Candidate:** Thank   you.  
**Candidate:** Um,   is   there   anything   else   you   kind   of   wanted   to   chat   about   or-   or   talk   about   in   this   session,   um,   before   we   kind   of   wrap   up   and   sign   off?  
**Candidate:** No,   I   mean,   so,   uh,   I   guess   I   would   ask,   uh,   I   mean,   it's   probably   beneficial   to   anybody   watching,   but,   you   know,   how   ...   Is   this   ...   How   c-   common   is   this   interview   question?   So,   I   know   you   picked,   like,   hey,   you   know,   say   what   is   your   favorite   product,   and   I   assume   that   the   reason   that   you   picked   that   is   because   that   is   one   of   the   more   common   if   not,   you   know,   the   most   common   that   you're   gonna   get   if   you,   you   know,   you're   starting   your,   you   know,   interview   process   to,   you   know,   either   make   a   parallel   shift   or,   you   know,   promote   it   or,   you   know,   something,   you   know,   of-   of   the   like.   Like,   it's   a   pretty   common,   uh,   interview   question,   right?  
**Candidate:** Yeah.   So,   I   would   say   that   this   is   the   most   common   interview   question.   Um,   it's   one   that   I   recommend   most   people   rehearse   on   some   level   or   practice,   um,   a   little   bit.  
**Candidate:** Mm-hmm.  
