Problem: Lyft Product Manager Interview: Driver Cancels
Problem Type: Product Design
Firm: Lyft
**Candidate:** Okay.   Uh,   and,   uh,   are   we   like   logging   it   differently?   Like   have,   have   we   switched   like,   you   know,   from,   I   don't   know,   Redshift   to   Hive   or   like,   like   anything   like   that?  
**Interviewer:** Um,   we   have   implemented   a   lot   of   changes   recently.   Um,   I'm   a   data   scientist,   so   I   don't   know   exactly   the,   the   changes   that   we've   implemented.   Um,   but   yeah,   there's   been   some   changes   to   our   system,   our   instrumentation   and   things   like   that.   I'm   not   sure   whether   or   not   that's   applicable   here   though.  
**Candidate:** Okay,   sounds   good.   Uh,   yeah,   so   I   mean,   maybe   I'll   try   some   other   stuff   for   a   while   and   if   we   aren't   really   getting   anywhere,   then   we   can   come   back   to,   uh,   instrumentation   and   see   if   there's   like   a   technical   problem   with   that,   um,   if   that's   okay   with   you.  
**Interviewer:** Yeah,   sounds   good.  
**Candidate:** Cool.   Uh,   okay.   So   I   think   we   have   a   good   sense   of   like   what   we're   talking   about,   so   like   drivers   are   canceling.   Uh,   we   haven't   changed   the   definition   of   driver   cancels   at   all.   Um,   maybe   the   metrics   are   being   logged   differently,   but   it   sounds   like   that's   like,   I   don't   know,   maybe   it's   like   a   routine   thing   that   hasn't   had   much   of   an   impact,   but   who   knows,   we,   we   can   come   back   to   it.   Um,   typically   when   I   wanna   like   find   the   root   cause   behind   this   sort   of   thing,   I   like   to   break   it   down   into   different   types   of   like   categories   in   which   things   might   go   wrong.   Uh,   a   couple   that   come   to   mind   right   now,   we   can   maybe   think   of   more   later,   are,   uh,   like   what's   going   on   like   in   the   physical   world   that   people   are   in,   like   using   the   product,   like   kind   of   marketplace   specific   stuff.   Uh,   maybe   there's   some   like   technical,   uh,   you   know,   ways   to   slice   and   dice   the   data   that   will   help   us   to   find   the,   uh,   the   segment   that's   experiencing   this   more,   if,   if   such   a   thing   exists.   Uh,   maybe   there's   like   user   specific   issues   or   like   competitive   issues.   Those   are   maybe   like   the   four,   um,   that   I'll   touch   upon.   Um,   does   that   sound   okay?  
**Interviewer:** Yep,   that   sounds   great.   Thanks   for   the   breakdown.  
**Candidate:** Cool.   Yeah,   sure.   Um,   so   let's   start   with,   uh,   marketplace.   So,   um,   this   is   stuff   like   seasonality,   like   maybe   time   or   location   or   something.   So   maybe   this   is   as   a   starting   point.   Um,   has   this   change,   uh,   did   this,   did   this   change   happen,   uh,   like   gradually,   like   decreased   over   time   into   what   is   now,   like   cancel   being   up   5%,   or   was   it   like   a   stark,   like   it   used   to   be   like   the   normal   amount   and   all   of   a   sudden   it's   up   5%,   like   within   a   day   or   something?  
**Interviewer:** Um,   yeah.   So   you're   asking   about   the...   To   clarify,   you're   asking   about   the   time   duration   of   the   change.   Is   that   right?  
**Candidate:** Yeah.   Or   I   suppose   like,   uh,   did   the...   so   cancels   are   up   5%,   uh-  
**Interviewer:** Right.  
**Candidate:** ...   from   some   point   in   the   past.   Uh,   was   that   point   in   the   past,   uh,   like   very   recent   in,   into   the   stark   change?  
**Interviewer:** Got   it.  
**Candidate:** Or   has   it   been   kind   of   gradually,   uh,   increasing   up   until   where   we   are   at,   at   now?  
**Interviewer:** It's   a   relatively   stark   change,   so   it   looks   like   there's   been   something   happening   within   the   past   maybe   couple   of   weeks   that   have   caused   it   to   change.   Um,   it's   not   like-  
**Candidate:** Okay,   got   it.  
**Interviewer:** ...   a   slow   change.   Yeah.   Great   question.  
**Candidate:** Yeah,   that   makes   sense.   So   like   something   fundamentally   is   different   about   the   product,   the   marketplace,   something,   and   it   like   just   made   like   a   step   change   in   cancels.  
**Interviewer:** Exactly.   Yeah.  
**Candidate:** That,   that   makes   sense.   Uh,   cool.   Is   it,   uh,   regional   at   all?   Like   are   we   seeing   like   a   certain   countries   or   cities,   uh,   that,   you   know,   disproportionately   have   an   increase   in   cancels?   Or,   or   is   it   like   kind   of   uniformly   up   across   the   whole   platform?  
**Interviewer:** Um,   we're   seeing   it   focus   generally   in   domestic   areas,   but   we're   not   seeing   a   huge,   uh...   it's   not   like   it's   only   in   the   domestic   areas.   We're   seeing   a   little   bit   more   in   the   domestic   region.
**Candidate:** Got   it.   Okay.   Yeah,   so   maybe   like   there's   like   a   specific   city   or   like   a   state   in,   in   America   or   something,   but   it's   like   kind   of   across   the   board.  
**Interviewer:** Right.  
**Candidate:** Uh,   okay.   That   makes   sense.   Um,   cool.   And   I   guess,   you   said   it   was   a   start   change,   is   there   any   like   holiday   or   something,   like   a...   I   don't   know,   is   there   like   a   big,   like,   you   know,   uh,   countrywide   holiday   or   like   a   parade?   I   guess   parade   would   be   like   city   specific,   but   is   there   like,   it's   like   a   national   holiday,   I   guess,   um-  
**Interviewer:** Yeah.  
**Candidate:** ...   going   on.  
**Interviewer:** I'm   actually   just   a   data   scientist.   I'm   not   totally   sure   what   holidays   are   coming   up.   Is   there   a   way   that   I   can   look   up   something   for   you   that   would   help   you   determine   if   there's   a   holiday?  
**Candidate:** Um,   yeah.   I   mean,   maybe   like   if   you   just   had   like   a,   you   know,   a   magical   calendar   of,   uh,   (laughs)   of   holidays.  
**Interviewer:** Sure.   So   I   can   look   at   my   magical   calendar   or   maybe   I'll   look   at   kind   of   a   database   or   something   and,   um-  
**Candidate:** Sure,   yeah.  
**Interviewer:** ...   check   and   cross-reference   if   there's   any   holidays.   Um,   there's   a   couple   esoteric   holidays   like,   uh,   maybe   National   Pancakes   Day,   but   I'm   not   totally   sure   how   applicable   that   is   for   the   question   that   we're   having   today.  
**Candidate:** Yeah.   Okay.   You   should   probably   partner   with   IHOP,   but,   uh,   I   guess-  
**Interviewer:** (laughs)  
**Candidate:** ...   otherwise   it   doesn't   sound   like   it   had   (laughs)   much   of   an   impact.   Um,   okay,   cool.   So,   um,   maybe   nothing   around   holidays.   Um,   I'm   gonna   skip   forward,   uh,   a   different,   uh,   category.   Um,   let's   talk   about   maybe,   uh,   like   technical,   uh,   you   know,   potential   problems.   Um,   is   this...   So   I   think   Lyft's   only   on   iOS   and   Android,   right?   Maybe   there's   like   a   mobile   product   as   well.   Uh,   but   like   broadly,   is   there   like   a   specific   platform   in   which   we're   seeing   this   happen   more?   Uh...  
**Interviewer:** Um,   great   question.   We're   not   seeing   a   deviation   in   the   platform   usage   generally.   Like   we,   we   have   certain   platforms   that   are   used   more   than   others,   but,   um,   the   norm-   when   you   normalize   to   the   amount   that   they   are   being   used,   it   doesn't   show   any   deviation   in   pattern.   So   yeah.  
**Candidate:** Okay.  
**Interviewer:** It   doesn't   look   like   there's   any   deviation   between   the   two   platforms   or   other   (overlapping)  
**Candidate:** Got   it.   Okay.   All   right.   That,   that   makes   sense.   And,   uh,   we'll,   we'll   get   into   like   user   behavior   type   stuff   later,   but,   um,   since   we're   talking   about   driver   cancels,   I   think,   uh,   you   know,   probably   not   worth   digging   too   much   into   like   the   passenger   app,   uh,   at   least   quite   yet.   Uh,   but   on   the   driver   app,   uh,   I   think,   I   imagine   there's   like   different   versions   of   the   app   and   stuff   like   that,   right?   Um,   if   it's   the   same   across   all   the   platforms,   is   there   maybe   like   a,   you   know,   like   a   version   of   the   app   that,   uh,   it's   happening   more   on?   Like   some   of   the   older   versions,   for   example,   or   anything   like   that?  
**Interviewer:** Got   it.   So   you   want   me   to   slice   by   the   version   number   sort   of,   of   the   app   release   that   we've   launched?  
**Candidate:** Yeah.   Which   like   may   be   different   across   iOS   and   Android,   but   like   let's   say   like   they're   temporally   like   tied   somehow.   Like   is   there   like   a   older   version,   uh,   that's,   it's   happening   more   on   or   something?  
**Interviewer:** Got   it.   Got   it.   Um,   yeah.   So   I'll,   I'll   look   into,   I'll   look   into   it.  
**Candidate:** Okay.  
**Interviewer:** Um,   I'm   not   seeing   a   huge   deviation   in   terms   of   the,   uh,   the   app   version   that   the   driver   is   on   in   terms   of   whether   or   not   they're   more   or   less   likely   to   be   in   that   canceled   set,   the   set   of   5%   that   are   canceling.  
**Candidate:** Got   it.   Okay.   That   makes   sense.   Uh,   cool.   And   then   I   guess   this   is   maybe   like   half   technical,   half   user   behavior   stuff,   but   is   there   any   like   experiment   that   we've   launched   recently,   like   as   Lyft,   like,   uh,   I   don't   know,   something   that   like   maybe   could   have   broken   something   and   caused   a   bad   experience   that   leads   to   more   cancels   or   a-   a-   a,   I   guess   like   a-   any   new   experiments   that   we've   launched?  
**Interviewer:** Yeah.   So,   um,   we   did   launch   a   experiment   where   we   changed   the   color   of   our   icon.   Um,   the   Uber...   uh,   the,   sorry,   the   Lyft   icon.   We   changed   the   color   of   it   recently.   Um,   we're-  
**Candidate:** Okay.  
**Interviewer:** We're,   we're   at   50%   for   that   experiment   right   now.  
**Candidate:** Got   it.   Okay.   Interesting.   Um,   yeah,   I   mean   like   intuitively   doesn't   feel   to   me   like   that   would   have   like   a   large   (inaudible)   cancels.   I,   I   actually   prefer   to   keep   digging   it   even   though   there's   some   idiosyncratic   thing   here.   Um,   if   nothing   else   like   fi-   you   know,   yields   like   a   bigger   source   of,   uh,   of   problems,   then,   uh,   maybe   be   worth   like   doing   some   user   research   and   asking   drivers   if   the   new   color   is,   uh,   somehow   causing   them   to   cancel   more   often.   Um,   if   that   sounds   okay   with   you.  
**Interviewer:** That   sounds   okay.   Yeah.   Um-  
**Candidate:** Cool.  
**Interviewer:** Totally.   It...   Well,   I   guess   just   to,   to   push   back   a   little   bit,   like   is   there   a   way   that   you   would   determine,   that   we   could   determine   whether   or   not   the   color   change   is   causing   the   cancellation?   Like   could   we   look   at,   in   the   data   to,   to   check   that   out?  
**Candidate:** Yeah.   Uh,   yeah,   that's,   that's   a   good   point,   I   guess.   Uh,   are   there,   uh,   is   there   a   higher   degree   of   cancels   in,   uh,   either   the   variant   or   the   control   place?   Right.  
**Interviewer:** Right.   Right.   There's   no,   there's   no   deviation   between   the   purple   and   the   pink.   Um,   we   changed   it-  
**Candidate:** Yeah.  
**Interviewer:** ...   to   purple,   so   yeah.   No   deviation   there.   So   yeah.  
**Candidate:** Yeah.   That,   that's   a   good   call.   Yeah.  
**Interviewer:** Yeah.  
**Candidate:** Easy,   easy   to   check.   Don't   even   need   to,   uh,   save   it   for   later.   Good,   good,   good   call.  
**Interviewer:** Yeah.  
**Candidate:** Um,   cool.   Okay.   Yeah.   So   I   guess   that   was   the   only   experiment   though,   right?   There's   no   other   experiments   that-  
**Interviewer:** Yeah.   That   was,   that   was   the   main   experiment   we   launched   recently.  
**Candidate:** Okay.   Uh,   and   just,   and   just   to   like   kind   of   triple   check   here,   so   I   think   we've   talked   mostly   about...   The   example   you   gave   at   least   was   like   a   UI,   uh,   experiment,   right?   Anything   in   the   backend?   Like   for   example,   like,   uh,   the   matching   algorithm   might   be   different   somehow   and   like   matching   drivers   on   a   different   criteria   or   anything   happening   there?  
**Interviewer:** Um,   we   do   launch   stuff   every   week.   Um,   we   haven't   seen   something   so   major   though   that   we've   launched,   uh,   in   terms   of   the   matching   algorithm   and   things   like   that,   that   would   be   relevant   to   this   particular   problem.  
**Candidate:** Yeah.   And,   and   I   guess   broadly,   uh,   you   know,   back   to   the   point   that   you   brought   up   earlier,   I   guess   we   could   just   look,   like   hypothetically   we   could   look   at   all   the   different   experiments   that   are   running   and   see   if,   uh,   the   variant   versus   the   control   or   if   it's   like   multivariate,   like   just   compare   all   the   different,   uh,   you   know,   buckets   of   people   and   see   if   there's   an   increase   in   cancels   and   sounds   like   maybe   there   isn't.   Um-  
**Interviewer:** Yeah.  
**Candidate:** Okay.   Um,   I   guess   the   last   thing   that   comes   to   mind   for   technical,   uh,   any   like   connectivity   issues   of   any   sort,   um,   that   we're   seeing   in   like...   I   guess   this,   maybe   it's   like   across   the   entire   country   since   we   already   know   it's   not   happening,   uh,   regionally.  
**Interviewer:** Yeah.   I   guess   what   specifically   would   you   want   me   to   look   for   in   terms   of   connectivity?   Could   you   be   a   little   more   precise   about   that?  
**Candidate:** Yeah,   fair   enough.   Yeah.   I   mean,   it's   actually   getting   more   into,   uh,   like   user   behavior,   so   maybe   I'll   just   jump   into   that   and   this   will   be   a   part   of   it.   But,   uh,   one   of   the   first   things   that   I   would   want   to   think   about   is   like   the   funnel   of   like   the   experience   here,   right?   So   we   have,   um,   you   know,   presumably   like   there's   an   app   open,   uh,   on   the   rider   and   the   driver's   side.   Uh,   the   rider's   side,   which   isn't   a   part   of   this   because   the   drivers   are   canceling.   Uh,   but,   you   know,   rider   opens   the   app,   they,   uh,   set   the   destination,   request   a   ride,   they   like,   uh,   basically   like   that's   it.   They   can   take   it   to   their   destination.   On   the   driver's   side,   which   is   maybe   more   interesting   here,   uh,   the   driver,   uh,   you   know,   opens   up   their   app   and   starts   a   session,   uh,   loads   content.   They   like   get   requested   a   ride,   they   accept   the   ride   and,   and   so   forth.   Right.   Um,   maybe   I'll,   I'll   just   like   save   it   there   and   ask   like,   is   there   a   specific   step   in   that   funnel   from   like   app   open,   um,   all   the   way   to   completing,   uh,   a   ride......   uh,   that   it-   this   is,   like,   disproportionately,   uh,   happening   in?  
**Interviewer:** Yeah.   So   you're   asking   f-   in   the   various   stages   of   the   funnel,   when   is   the   cancellation   happening?   Is   that   correct?  
**Candidate:** Uh,   yeah.   I   mean,   I,   yeah,   I   guess   like   it   could   only   happen   from   when   the   driver,   uh-  
**Interviewer:** Right.  
**Candidate:** ...   accepts   the   ride,   right?  
**Interviewer:** Right.   Right.  
**Candidate:** Um,   or   I   mean,   I   guess   one   clarifying   thing   here   is,   uh,   so   presumably   the   driver   gets   asked   if   they   want   a   ride,   uh,   and   they   can,   like,   choose   to   accept   it   or   not.   Right?   Um,   if   they,   unless   we're   doing,   like,   auto   assigning,   but   let's   say,   like,   we're   not,   at   least   in   some   cases.   Um,   if   a   driver,   like,   doesn't   accept   a   ride,   does   that   count   as   a   cancel?   Or   are   we   only   talking,   like,   after   they   accept?  
**Interviewer:** Uh,   we   are   talking   about   after   they   accept.   So   that,   that   would   be-  
**Candidate:** Got   it.  
**Interviewer:** ...   a   cancel.   Yeah.  
**Candidate:** Okay.   Got   it.   Uh,   okay.   Let's,   let's   get   into   this   a   bit   more   later.   Um,   yeah.   I   guess   r-   I   just   wanna,   like,   close   that   loop   on   the   connectivity   side.  
**Interviewer:** Sure.  
**Candidate:** Um,   or   is   the   app,   like,   crashing   at   all?   Like,   I   think   that,   that's   basically   what   I'm   getting   at   is,   like,   is,   uh,   did   the   app,   uh,   are   we   seeing   like,   app   crashes,   like,   uh,   higher   than   normal?  
**Interviewer:** Yeah.   Uh,   good,   good   question.   We're   not   seeing   any   app   crashes   higher   than   normal,   nor   are   we   seeing,   um,   bug   reports   reported   by   the   app   either.   So   yeah.  
**Candidate:** Okay.  
**Interviewer:** We're   not   seeing,   like,   crashes   or,   uh,   bug   report   issues   coming   up   right   now.  
**Candidate:** Okay.   Okay.   Yeah.   That,   that   makes   sense.   Uh,   cool.   Okay.   So   now   let's   maybe   go   full   on   into   the   user   side.   Um,   so   I   just   wanna   wrap   up   the   funnel   thing.   So   the   driver   accepted,   uh,   the   ride,   uh,   and   this,   from   this   point   onwards,   they,   you   know,   might   cancel.   Uh,   are   we   seeing,   uh,   a   disproportionate   amount   of   these,   like,   uh,   increased   cancellations   happening?   Um,   I'll,   I'll   start,   like,   broad   and   then   I'll   ask   you   some   specific   questions.   I,   I,   I'm   trying   to   think   through,   like,   um,   from   when   you,   uh,   from   when   you   accept   the   ride   until   when   you're,   like,   at   the   location,   like,   picking   up   the   passenger.   Uh,   you   might   cancel,   like,   kind   of   early   on   because   of   something   or   later   on   because   of   something.   Right?   Um,   are   we   seeing   any,   like,   clustering   of   cancels,   I   guess   is   the   question,   uh,   a-   based   on,   like,   the   time   f-   between   being,   uh,   dispatched   to   arriving   at   the   pickup   location?  
**Interviewer:** Yeah.   We're   seeing   it   more   at   the   beginning   of   that   experience.   So   the   time   duration   would   be   more   towards   the   front   end   of   the,   of   the   ride,   of   the-  
**Candidate:** Okay.  
**Interviewer:** ...   of   the   driving   to   the   person.   Yeah.  
**Candidate:** Okay.   Yeah.   That's,   that's   interesting.   That's   good   to   know.   Um,   okay.   Um,   has   the,   uh,   has   the   distance   from   the,   uh,   place   where   the   driver   was   dispatched   and   the   destination   that   they're   being,   or   the   pickup   location   they're   being   asked   to   drive   towards,   has   that   distance,   uh,   changed   meaningfully   recently?   Is   it   like,   uh,   is   it   on,   is   it   on   average   longer,   for   example?  
**Interviewer:** So   I   see   what   you're   saying.   Like,   is   the   distance   from   the   driver   to   the   pickup   point   longer   than   normal?   Is   that   what   you're   asking?  
**Candidate:** Yeah.   Yeah.   I,   I   guess   I   should   take   a   step   back   for   a   second.  
**Interviewer:** Yeah.  
**Candidate:** I'm,   I'm   trying   to   think   through   like,   uh,   'cause   we're   mostly   focused   on   the   driver.   Like,   is   there   anything   from   the   driver's   perspective   that   might,   uh,   dis-incentivize   them   to   complete   the   ride   and   cause   them   to   cancel?  
**Interviewer:** Got   it.  
**Candidate:** Um,   and   if,   if   I   think   about   that,   just   like,   just   to   wrap   up   this   thought,   like,   at   a   high   level.   Like,   drivers   care   about,   uh,   like,   dollars   per   hour   basically.   They,   like,   wanna   make   money.   It's   an,   it's   a   job   for   them,   right?   Um,   and   to   do   that   they   have   to   do   a   lot   of   jobs   per   hour.   I   think   they're   not   getting   paid   hourly,   right?   So,   uh,   I   expect   that,   uh,   you   know,   they'd   prefer   to   do   shorter   rides   or   shorter   pickups   at   least,   um,   because,   I   don't   know,   like,   they   probably   think   they're   doing   more   rides   per   hour.   I   don't   even   know   if   they're   getting   paid   for   that   pickup   time.   So   I-   either   way,   they   probably   want   to,   uh,   to   do   shorter   pickups.   Right?  
**Interviewer:** Yeah.  
**Candidate:** So   I   guess   the   question   is,   uh,   ba-   based   on   that,   right,   uh,   has   that   distance   grown   at   all?  
**Interviewer:** Yeah.   Uh,   good   question.   So   based   on   that,   the   distance   has   not   grown.   No.   We   are   not   seeing   that   the   rides   are   substantially   further   away   than   they   were   before.  
**Candidate:** Okay.   Got   it.   Uh,   and   sorry   distance   and   also   time?  
**Interviewer:** Uh-  
**Candidate:** Is   the   amount   of   time?  
**Interviewer:** ...   time,   time   as   well.   Yeah.   Yeah.  
**Candidate:** Okay.   Cool.   Yeah.   Just,   did   you   wanna   double   ch-   double   check   that?   Uh,   okay.   Cool.   Um,   let's   see.   Um,   I   don't   know   if,   we   may,   we   may   have   already   covered   this,   but   something   that   comes   to   mind   is,   like,   are   there   more   drivers   lately,   like,   as   a,   you   know,   uh,   proportionately   to   the   amount   of   riders?   Like,   a-   is,   are   we,   like,   over-supplied   potentially?   Or   there's,   you   know,   so   many   drivers   that,   um,   I   don't   know,   maybe   they're   frustrated   'cause   they're   not   getting   as   many   rides   or   something   like   that.  
**Interviewer:** Yeah.   We're   not   seeing   a   increase   in   supply   of   drivers,   but   that's   a   great   question   as   well.   So   yeah,   the-   this,   there   shouldn't   be,   there,   there   doesn't   seem   to   be   a   more   or   fewer   riders   or   drivers   on   the   platform   right   now   than   we   can   expect.  
**Candidate:** Yeah.   Okay.   Okay.   That   makes   sense.   Um,   let's   see.   Um...   Maybe   one   thing   that   comes   to   mind   is,   like,   a   more   macro   thing.   Um,   have   you   seen   anything,   like,   in   the   news?   Like,   any   public   sentiments   like   a   strike   or   like   a,   I   don't   know,   like,   del-   Uber   a   while   back   seemed   to   be,   like,   a   big   thing   for   them.   Is   there,   like,   something   maybe   similar,   like,   bubbling   up,   uh,   right   now   that   we've   seen?  
**Interviewer:** Yeah.   So...  
**Candidate:** I   know   we're   data   scientists   but   like...   Yeah.  
**Interviewer:** Totally.   Yeah.   I   can   do   a   sentiment   analysis   on   Lyft   as   a   company,   uh,   on   some   of   the   sites.  
**Candidate:** Okay.  
**Interviewer:** Um,   we're   not   seeing   a   deviation   in   the   sentiment   there.   So,   um,   it   doesn't   seem   like   there's   something   newsworthy   that   has   come   out   about   Lyft   in   the   past,   uh,   few   weeks.  
**Candidate:** Okay.   That   makes   sense.   Uh,   and   then   maybe,   uh,   two...   Yeah,   I   think   two   more   things   that   come   to   mind,   uh,   in   users.   And   then   I   have   some   competitor   stuff   I   wanna   ask   about.  
**Interviewer:** Sure.  
**Candidate:** Um,   but   on   the,   uh...   So   it's   a   marketplace.   There's,   like,   two   sides   and   you   have   to   coordinate   stuff,   right?   Uh,   are   we   seeing   any   difference   in,   like,   the   rider   behavior?   Like,   specifically   as   an   example,   uh,   'cause   I   presume   cancels   are   happening   before   the   rider   arrives.   Actually   one   thing   to   clarify,   um...   Oh   no,   you,   you   already   said   that   it   was   happening   near   the   dispatch.  
**Interviewer:** Yeah.  
**Candidate:** So   presumably   it's   not   happening   when   they're   already   there,   so-  
**Interviewer:** Right.  
**Candidate:** Uh,   they   couldn't   interact   physically.   Uh,   is   there   increase   in,   like,   passengers   calling   drivers?  
**Interviewer:** Um,   nope.   Uh,   no   increase   in   passengers   calling   drivers.  
**Candidate:** Okay.   Got   it.   Uh,   cool.   And   then   last   question.   Uh,   maybe   you   could   even   start   with   this,   but,   uh,   demographically,   like,   if   you,   like,   segment   out   based   on   different   types   of   drivers,   like   age   or,   uh,   I   don't   know,   uh,   any   other   PII   that   we   have   on   them   or   how   old   their   vehicle   is,   how   tenured   they   are   on   the   platform,   right?   You   can   classify   this   in   different   ways.   Are   we   seeing   any,   like,   segment   of   drivers   that   are,   uh,   disproportionately   canceling?  
**Interviewer:** Yeah.   Good   question.   Um,   it's   very   slightly   skewed   towards   people   who   have   been   on   the   platform   a   little   bit   longer,   but   that's,   it   doesn't   really   seem   to   be   much   of   a   pattern   there.
**Candidate:** Okay,   got   it.   Uh,   cool.   So,   maybe   like   a   little   bit   more   on   the   tenured   side,   uh,   I   think   that   the,   the   most   interesting,   like,   thread   to   keep   pulling   on   is,   it   was   happening,   like,   soon   after   they-  
**Interviewer:** Hmm.  
**Candidate:** ...   uh,   were   dispatched.   Um,   so   there's   something   to,   like,   maybe   incentivize   them,   even   though   they   just   started,   to   cancel.   They   haven't   invested   too   much   yet   and   something   more   lucrative   came   up.   Um,   so   actually   getting   into   competitive   stuff.   Um,   so,   I   mean,   hopefully   you   have   a   good   amount   of,   like,   competitive   intelligence.   I   think   Uber's,   like,   kind   of   the   biggest   player,   especially   if   it's,   uh,   across   the   whole   platform,   uh,   or   across   the   whole   nation   rather.   Uh,   there's   other   folks   like,   uh,   uh,   like   Via   and   Juno   and   stuff,   but   they're,   they're   not   really   across   most   of   the   platform,   so   let's   maybe   just   focus   on   Uber,   I   guess.  
**Interviewer:** Sure.  
**Candidate:** Um,   do   we   know   if   Uber's,   uh,   I   mean,   I'm   sure   they   launch   stuff   all   the   time,   but   do   we   know   if   they've   launched   anything,   uh,   fairly   big   recently,   like   a   big   product   announcement   or   anything   like   that?  
**Interviewer:** They   are   launching   stuff   all   the   time.   Um-  
**Candidate:** Right.  
**Interviewer:** ...   I   looked   into   the   stuff   and   it   does   look   like   they,   they're   doing   an   increase   in   types   of,   some   marketing   campaigns   that   they're   working   on   lately   for   drivers,   so   we're   seeing   some   increase   there   with   marketing   campaigns.  
