Problem: Google Product Manager Mock Interview: Improve Fin-Tech Product
Problem Type: Product Sense
Firm: Google
**Candidate:** Totally,   totally.   So,   uh,   yeah,   if   you   wanna   stick   with   software,   um,   a   few   products   that   I,   uh,   am   a   fan   of   and   I   think   are   well   designed   are,   uh,   StreamYard,   which   is   a   streaming   platform.   Uh,   I   think   it,   that's   web-based   primarily.   I   think,   uh,   I   think   LinkedIn   is   pretty   well   designed   actually.   That's   obviously   multi-platform.   On   the   app   side   of   things,   I   really   like...   A,   uh,   well,   I   was   gonna   say   Webull   and   Acorns.   Uh,   we   could   talk   about   Acorns   specifically.   There's,   uh,   there's   a   whole   suite   of   financial   apps.   Um,   uh,   but   I   think,   I   think   Acorns   is   probably   the,   the   most   well   designed,   the   one   that   I   think,   uh,   has   my   attention   the   most.   Uh,   in   terms   of   the   framework   for   how   I   think   about   what   makes   something   well   designed,   there's   a   couple   things.   First   of   all,   it   has   to   be,   it   has   to   be   a   useful   product   or   service.   It   has   to   be   something   that   actually   solves   a   need.   It   has   to   be   a   product   that,   uh,   people   actually,   uh,   that   basically   solves   an   existing   problem   that   people   have.   And   the,   the   more   painful   the   problem,   uh,   the   more   frequent   the   problem,   the,   the   better,   because   the,   the,   the   more   important   the   solution   becomes.   So   that's   my   first   criteria.   The   second   criteria   is   probably   gonna   be   the,   um...   Mm.   The   second   and   third   are   gonna   be   probably   a   toss-up   in   between   what's   more   important.   But   I   think   the   second   one   is   gonna   be   the,   um,   the   design   aspect,   is   how,   um,   uh,   the   aesthetics,   really.   Like,   how   well   does   it   look?   Uh,   how   does   it   make   you   feel   as   the   user?   Does   it   make...   I-   is   it,   is   it   pleasing   to   interact   with,   to   look   at,   and   to,   uh,   to   engage   with?   That's   gonna   be   the   second   one.   And   the   third   one,   I   think,   is   it,   again,   kind   of,   kind   of   overlaps   with   the   second   one,   but   it   is   this...   Uh,   I   think   of   it   in   terms   of   as,   uh,   exciters.   So   when   you   think   of   a   product,   a   product   can   have   these   base   needs,   sort   of   like,   I   mean,   it's   just   addresses   your   needs.   But   there   could   be   some   products   that   are   exceptional.   They,   they,   they   actually,   uh,   get   you   excited   about   the   product   and   want   you...   and   make   you   want   to   actually   share   that   product   with   others.   So   when   you   think   of,   uh,   probably,   you   know,   the   iPhone   versus   the   phones   that   were   available   at   the   time   that   it   came   out,   uh,   it   was,   it   was   an   exceptional   product   in   all   three   of   those.   And   actually,   iPhone   is   a   good   one,   but   we're   talking   about   software   here.   Um,   so,   uh,   thinking   about   how,   for   instance,   Acorns   fits   into   that.   The   need...   Acorns,   what   Acorns   actually   does   is   it   allows   anyone   to   become   an   investor.   You   don't   have   to   put   in   a   lot   of   time.   Everything   is   automatic.   You   don't   have   to   put   in,   uh,   big   amounts.   You   don't   have   to   know   anything   about   the   stock   market.   It   just   removes   the   obstacles   to   become   an   investor,   to   saving   for   all,   essentially   for   all   people.   You   can   get   started   with   as   little   as   $10.   And   so   the   need   that's   there   is   that...Everyone   ultimately   wants   to   be   better   financially,   wants   to   have   more   money.   And   so,   but   not   everybody   knows   about   investing,   not   everybody   knows   how   to   work   with   finances,   how   to   make   your   money   work   for   you,   all   of   this   stuff.   And   so   the   need   is   to   allow   everyone   to   become   an   investor   and   Acorns   does   that.   Now   we'll   talk   about   how   it   does   that   and   how   there's,   uh,   maybe   even   potential   areas   for   improvement.   But   first   of   all,   it   does   that.   So   it   allows   anybody   with   as   little   as   $10   to   automatically   invest   whenever   they   have,   they   have   spare,   uh,   money   available   or   to   invest   spare   change   or   automatically   or   what   have   you.   And   very   simply,   get   you   to   participate   in   the   stock   market   game,   which   is   this   long-term   investment   opportunity.   The   second   piece   of   it   is   the   design.   It's   exceptionally   well   designed.   Everything   feels   very   intuitive,   everything   feels   good,   it   looks   great.   You   know,   the   UI,   um,   uh,   the   gestures,   uh,   the,   the   way   that   the,   um,   uh,   you   move   essentially   from   screen   to   screen   and   you   accomplish   whether   you   wanna   make   an,   uh,   connect   your   first   account   or   make   your   first   deposit   or   look   at   a,   some   sort   of   a   partner   opportunity,   it's   all   very   fluid.   Um,   uh,   great,   uh,   I   think   great   color   scheme,   great   design   element,   uh,   and   the   exceptional   part.   So   this   exciter   part   is   where   it   just   works   and   it   just   works   so   easily   and   you   feel   like   you   suddenly,   even   you've   never   been   an   investor,   suddenly   you   become   an   investor   and   you're   really   partaking   in   this   thing   that   everybody's   talking   about,   the   Dow   and   Nasdaq   and   all   of   this   stuff,   and   you   are   participating   in   it.   You   have   little   tidbits   of   news,   ability   to   choose   your   portfolio   even   from   a   few   options,   but   you   feel   like   you're   really   navigating,   you   know,   the   traverse   in   this   financial   terrain.   So   I   think   it   is,   it   makes   me   as   a   user,   I,   I   think   I,   I   fit   the   profile   for   the,   for   the   type   of   user   that   they're   going   for.   It   makes   me   excited   about   the   product,   wanna   share   it   with   others,   and,   uh,   I   think   in   fact   we'll   probably   get   quite   a   lot   of   people   to   sign   up   for   Acorns   just   from   this   video   if   they've   never   heard   of   it.  
**Interviewer:** (laughs)  
**Candidate:** And   it's   not   an   affiliate   link   or   anything   like   that.   So,   uh,   so   that's   why   I   think   it   fits   into,   into   those   criteria.   We   could   talk   about   these   other   products   or   if   you   want,   we   could,   uh,   you   know,   go   into   more   in   depth.   How   would   you   like   to   proceed?  
**Interviewer:** Yeah.   Um,   thanks   for   checking   in.   I   mean,   first   of   all,   Acorns,   while   I   haven't   used   it,   love   the   mission   and   love   the   way   you   describe   that   framework.   Um,   let's   deep   dive   on   Acorns.   I   would   love   to   hear   a   little   bit   more   about   maybe   what   makes   it   so   special   to   you,   but   also   getting   a   little   bit   closer   to   the   part   where   we   talk   about   how   you'd   improve   the   product   and   how   you'd,   uh,   make   it   even   better   if   you   could.  
**Candidate:** That's   a   tall   order.   I   should   have,   I   should   have   picked   a   worse   product.   That's   the   first   thing   that   I   think   of   honestly,   'cause   that's,   that's   a   solid,   solid   product.   So,   uh,   diving   in   a   little   bit,   if,   if   our   goal   here   is   to   figure   out,   okay,   how   can   we   improve   this   product,   um,   let's   start   maybe   putting   pen   to   paper   here   and   thinking   about   how   we're   gonna   approach   this,   this   question.   So   I   think   what   we'll   do   is,   and   maybe   just   give   me   a   minute,   I'll   think   through   how   I   want   to   approach   it.   I'll   just   kind   of   have   a   rough   framework.   Um,   maybe   I   can   actually,   if   you   don't   mind,   I   will   talk   through   this,   but   I   reserve   the   right   to   make   edits   as   we   go.   It's   sort   of   gonna   be   a   live   brainstorming   session.   So   I   think   I   want   to   create   a   structure   for   myself   about   how   I   want   to   answer   a   question   like   improve   Acorns,   which   is   a   phenomenal   app   that   I've   been   using   for   a   long   time.   Tons   of   users,   I   think   a   lot   of   revenue.   I   don't   know   about   their   profitability,   but   I   think   it's   just   a   great,   great   product   and   it,   according   to   my   own   framework,   it,   it   passes   on   all   counts.   So   that's   gonna   be   tough.   So,   uh,   to   approach   this,   I   want   to   figure   out   how   I'm   gonna   do   it.   So   first   thing,   I'm   going   to   make   sure   that   I   understand   what   Acorns   is.   So   I'm   just   writing   down   Acorns.   We're   gonna   talk   about   what   it   is,   what   it's   not.   Uh,   that's   gonna   lead   us   into   talking   about   the   mi-   mission,   the   mission   statement   of   the   company.   Obviously   I   don't   know   it,   but   we   can   figure   it   out.   We   can   kind   of   unravel   it.   The   mission,   the   vision,   what   are   they   trying   to   do?   Uh,   what's   the   aim   of   the   product   and   the   company   if   it's   one   product,   uh,   uh,   if   it's   a   one   product   company,   then   that's   one   and   the   same.   And,   uh,   that   will   lead   us   into   kind   of   understanding   the   business   side   of   things.   But   primarily   we   do   want   to   obviously   focus   on   the   users,   the   customers.   And   so   the   next,   uh,   stage   is   for   us   to   think   about   who   are   the   actual   users   of   Acorns.   Specifically   what   type   of   segments   of   users   or   what   type   of,   um,   meaningful   way   can   we   describe   a   user   base   or   maybe   multiple   user   bases.   The   next   point   is   we're   gonna   talk   about   this   problem   that   it   solves   for   the   user.   So   these,   these   are   the   users.   What   are   the   problems   that   we   might   talk   about   in   all   together?   But   the   idea   is   Acorns   is   a   product,   it   solves   some   sort   of   big,   big   problem   because   it's   got   a   lot   of   users.   So   we   understand   what   that   problem   is   or   maybe   a   set   of   problems.   And   next   we're   gonna   talk   about   what   the   actual   use   cases   are.   Use   cases,   I   mean   the   actual   sort   of   journeys   of   those   users   or   those   user   segments   and   the   groups   that   we   talked   about.   How   do   they   actually   interact   with   the   product   in   order   to   solve   their   problem?   So   we'll   talk   about   some   use   cases.   Uh,   and   then   we   will   talk   about   the   value,   why   these   users   actually   use   this   product   to   solve   their   problem.   So   we'll   get   into   the   why   a   little   bit.   So   that's   the   why   on   the   user   side.   And   that   will   lead   us   into   thinking   about,   okay,   so   we,   we   understand   the   mission.   Uh,   we   understand   the   problem   that   it,   it   solves   for   these   users.   Here's   the,   their   experiences,   their   use   cases.   Now   why   do   they   actually   use   this   product   as   opposed   to   maybe   other   products   that   are...   So   we'll   look   at   some   alternatives.   What   else   could   they   be   using   in   order   to   accomplish   these   same,   um,   these   same   results?   Then   we'll   talk   about,   um...We'll   go   back   to   the   business,   having   understood   all   that   hopefully   in   some,   in   some   detail.   We'll   go   back   to   the   business   side   of   things   and   we'll   think   about,   okay,   what   are   some   potential   opportunities   for   improvement?   We   will   leverage   the   mission   that   we   talked   about,   we'll   leverage   an   understanding   of   our   users   and   their   needs,   and   we'll   try   to   come   up   with   some   potential   vectors   for   improvement,   we'll   call   this.   Vectors   for   improvement.   The   reason   I'm   calling   it   vectors   for   improvement   is   because   we   need   a   little   bit   of   a   subprocess   in   order   to   actually   think   about   improvement.   We   can't   just   think,   okay,   let's   improve   it.   And   for   vectors   for   improvement,   we   will   leverage   some   of   the   stuff   that   we   discovered   along   the   way,   but   also   I   want   to   be   thinking   about   stuff   like,   okay,   what   are   some   quick   wins   in   general?   Is   there   something   that   we   can   do,   um,   to   help   these   users   accomplish   these,   these   use   cases   and   solve   their   problems   a   little   bit   better?   We'll   ta-   think   about   quick   wins.   We   will   think   about,   mm,   uh,   since   it's   an   app,   we'll   think   about   maybe   the,   sort   of   the   user   lifecycle,   just   from   awareness   of   the   app   through   acquisition   and   retention   engagement,   monetization,   referral.   We'll   use   that   framework   to   think   about,   is   there   anything   along   any   of   those   paths   that   we   might   either   leverage   into   a   quick   win,   or   that   are   just   obvious   deficiencies   or   something   that   we'd   want   to   pursue?   So   we'll   just   call   that   the,   you   know,   the   app   user   lifecycle.   I'm   talking   you   through   this.   Ordinarily,   I'd   maybe   write   it   down   and   then   just   give   it   to   you   straight,   but   I,   I   like   this.   And   if   you...   By   the   way,   if   you   think   that   you'd   like   to   zoo-   you   know,   zoom   in   on   a   particular   area,   just   let   me   know   either   now   or   as   we're   talking   about   it,   uh,   because   obviously   we   only   have   a   limited   amount   of   time.   You   know,   the   Acorns   product   folks   work   all   year   round   on   this   stuff.   We're   only   gonna   do   this   for   30   minutes.  
**Interviewer:** Totally.   Um,   I,   I   do   wanna   call   out,   Alex,   and,   and   to   the   viewers   watching,   one   thing   that   Alex   is   doing   really   effectively,   and   I,   I'll   give   you   feedback   about   this   at   the   end,   is   this   live   brainstorming   sort   of   tactic   is   a   great   way   to   explain   what   you're   thinking   about   to   the   interviewer   without   really   committing   to   anything.   And   I   think   that's   a   really   effective   thing   that   Alex   is   doing   right   now,   which   is   like,   "Hey,   I'm   gonna   brainstorm.   This   is   kind   of   how   I'm   scoping   it   out,   but   hey,   don't   take   any   of   this   like   pen   to   paper   yet.   I'm   still   kind   of   figuring   it   out."   Um,   and   for   you   Alex,   like   yeah,   would   love   to   focus   on   which   parts   you   feel   like   are   more   interesting.   Definitely   we   might   not   have   time   to   get   through   every   single   part   of   it   in   full   detail,   um,   but   definitely   like,   yeah,   as   you   go   through   it,   we   can   spend   a   little   bit   more   time   in   the   parts   that   feel   a   little   more   interesting   or   novel   or,   or   worthwhile   to   the   exercise.  
**Candidate:** Yeah.   Yeah,   yeah,   makes   sense.   Makes   sense.   This   is,   uh,   uh,   totally   agree   with   you,   Stephen,   by   the   way.   This   could   be   depending,   uh,   you   know,   use   this   technique   at   your   discretion,   but   be   aware   of   the   time   constraints.  
**Interviewer:** Totally.  
**Candidate:** So   I'm   kind   of   assuming   Stephen's   gonna   hang   with   me   regardless,   but   in   an   actual-  
**Interviewer:** (laughs)  
**Candidate:** ...   interview,   you're   only   gonna   have   10,   15,   20   minutes,   so   be   careful   how   you,   whether   you   wanna   do   this   big,   uh,   discussion   or   you   right   away   sort   of   skip   the   middleman   and   just   say,   "Nope,   we're   not   gonna,   like   we're   not   gonna   do   this.   We're   gonna   focus   on   this   stuff."   Um,   so   yeah.   Good,   good   call-out,   Stephen.   All   right.   So,   uh,   so   after   we   go   through   that,   we're   gonna   identify   those   vectors   of   improvement.   We'll   talk   about   the   pros   and   cons,   right?   Like,   okay,   c-   can   we   actually,   can   we,   can   we   deliver   some   feature   here?   Why   is   it   bad?   Why   is   it   good?   What   are   the   repercussions?   We'll,   we'll   talk   about   the   trade-offs   of   those.   And   then   finally,   we   will   probably,   we   will   probably   finalize   a   s-   a   solution   or   a   set   of   solutions   that   we   feel   good   about,   and   that   will   probably   have   its   own   framework   in   terms   of   like,   okay,   here's   the   stuff   that   we're   gonna   do   early   on.   Here's   some   foundational   stuff   that   we   wanna   build.   So,   and   then   we'll   review,   recap   everything   that   we   talked   about.   Okay.   So   I'm   done   with   the   structure.   Done.   Thank   you   very   much,   Stephen.   Pleasure-  
**Interviewer:** (laughs)  
**Candidate:** ...   meeting   you.   I   think   that   was   a   job   well   done.  
**Interviewer:** (laughs)  
**Candidate:** Now   comes   the   actual   hard   part   of   actually   doing   this   stuff.   So   let's   try   to   stick   with   the   plan,   but   if   stuff,   yeah,   i-   it   feels   like,   uh,   we're   spending   too   much   time,   Stephen,   feel   free   to   just   nudge   me   along.   And   simultaneously,   if   you   wanna   dive   in   on   something   a   little   bit   more   just   say,   "Hey,   let's,   let's,   let's,   let's   dive   in   here."  
**Interviewer:** Totally.  
**Candidate:** All   right.   So   first   for   Acorns.   All   right.   So   we   talked   about   what   it   is.   Uh,   we   obviously   think   it's   an   awesome   product.   I   think   the   mission   is   to...   We   can   start   out   from   allow   anyone   to   invest.   That's   like   very,   very   specific   because   that   is   literally   what   it   is,   right?   It   remove   the,   uh,   obstacles   to   investing   for   anyone.   No   minimum   requirements,   no   nothing.   Nothing.   But   then   if   you   look   a   little   bit   deeper,   like   is   that   really   a   good   mission?   Maybe   the   mission   is   for   everyone   to   be   financially   prosper.   Like   all...   help   all   people   prosper   financially.   If-   it   depends,   it's   like   a,   a,   sort   of   a   light   touch   on   the   framing,   but   it's   actually   gonna   change   the   way   that   we   approach   everything   as   a   result.   So   I   think   that   it   depends   a   little   bit   on   the   position   of   Acorns.   Like   if   we   are,   if   we're   still   a   startup   and   I   don't   know   exactly   what   they're...   They've   got   a   ton   of   paying   users,   so   I   think   they're   okay   in   terms   of   funding,   but   depending   on   where   they   are,   they   may   want   to   frame   the   mission   at   something   specific,   like   allow   anyone   to   invest,   uh,   towards...   I   mean,   we   could   just   allow   anyone   to   invest.   That's   very   specific.   That   allows   them   to   really   hyper-focus.   Like   w-   our   mission   is   all   about   allowing   anyone   to   invest,   uh,   easily.   To   invest   easily.   That's   sort   of   like,   um,   a,   a   little   bit   rough.   I'm   not,   I'm   not   a   huge   fan   of   this   for   now.   But   the   other   one,   if   we   expand   all   the   way   out,   it   is   help   everyone   on   the   path   to,   uh,   financial   wellbeing,   right?   Enable   financial   wellbeing.   So   if   we   take   that   one,   if   Acorns   is   a   little   bit   further   along,   then   that's   actually   a   great   spot   because   now   you   can   go   into   a   variety   of   financial   products.   And   now   that   I   think   about   it,   I   think   they   have   savings   accounts   and   I   think   they   have   retirement   and,   uh,   educational   plans.   So   enable   financial,   uh...   What   did   I   actually   say?   Enable   financial   success   or   financial...   Um,   help   everyone   or   we   want   to   enable...
**Interviewer:** I   think   you   mentioned   financial   wellbeing.   So-  
**Candidate:** Financial   wellbeing,   that's   it.  
**Interviewer:** Right.  
**Candidate:** That's   it.   Thank   you.   Thank   you   for   paying   attention,   Steven.   This   is   the   downside   of,   of   live   brainstorming.  
**Interviewer:** (laughs)   That's   my   job.  
**Candidate:** Right?  
**Interviewer:** (laughs)  
**Candidate:** (laughs)   So   enable   financial   wellbeing.   I   really   like   that,   uh,   for   now.   We   might   ch-   we   might   change   it   to   get   a   little   bit   more   precise,   but   what   I   like   about   that   is   that   certainly   getting   people   to   start   investing   is   a   key   component   of   enabling   financial   wellbeing.   Certainly   educating   about   finances,   helping   you   plan   for   your   family,   uh,   insurance,   uh,   you   know,   checkings   and   all   kinds   of   financial   instruments,   um,   educational,   uh,   products,   all   that   stuff   enables   financial   wellbeing.   I'm   good   with   that   for   now.   Let's   p-   let's   pick   that   and,   um,   and   keep   going.   Now   let's   think   about   the   users.   The   great   thing   about   Acorns   is   that   theoretically   if   our   goal   is   to   enable   financial   wellbeing,   basically   almost   everybody   is   our   user,   because   there's   obviously   the   majority   of   folks   are   not   billionaires.   Oh,   in   fact,   everyone   is   not   a   billionaire   and   the   majority   of   folks   are   still   not   millionaires.   And   by   the   way,   when   I'm   talking   about   folks,   who   do   I   mean?   Do   I   mean   just   sort   of   US,   which   is   ma-   maybe   where   Acorns   is   based?   Do   I   mean,   um,   the   more   developed   economies   or   do   I   mean   everybody?   And   I   think   for   our   purposes,   we   should   focus   on   the,   the   more,   uh,   industrialized   economies.   So   w-   we'll   start   even   just   to   keep   our   focus   simple,   we'll   start   with   the   US,   but   I   know   that's   a   gross   over-simplification.   Obviously   we   want   to   eventually   enable   financial   wellbeing   for   everybody,   but   i-   it   brings   entirely   different   suite   of   problems.   For   now,   we're   just   gonna,   just   to   narrow   our   focus,   we're   gonna   go   with   US.   So   we   want   to...   We're   focusing   on   the   US   as   we've   got   about   315,   320   million   people.   Uh,   who   are   our   users?   The   primary,   uh,   the   primary   users   are   those   that   are...   that   have   never   invested   and   don't   know   how   to   invest.   Um,   maybe   they   are   in,   uh,   just   in   college   or   just   after   college,   in   their   20s   and   30s,   maybe   even   40s.   Uh,   uh,   I'm   sure   there's   plenty   of   folks   that   are   in   their   50s   and   60s   that   have   not   invested   and   don't   know   how   to   invest,   but   I   think   the,   uh,   investing   when   we're   talking   about   financial   wellbeing,   a   key   instrument   to   investing   is   leverage   and   compound   interest.   All   right,   it's   like   those,   those   two   things   are   at   the   heart   of   a   lot   of   financial   instruments,   and   in   order   to   leverage   compound   interest,   the   younger   you   are,   the   earlier   you   start,   the   better.   And   so   to   have   the   biggest   impact,   the   biggest   effect   on   people,   we   should   start   on   the   folks   that   are   in   their   20s   and   their   30s,   potentially   even   earlier.   But   we'll   have   to,   we'll,   we'll   have   to   think   about   what   are   the,   the   additional   difficulties   associated   with,   for   instance,   getting   kids   to   learn   about   investment.   I   mean,   potentially   if   you   get   someone   that's   10   years   old   to   start   investing,   it's   actually   a   lot   more   powerful   than   if   you   get   someone   at   25   or   35.   And   so   eventually   we   may   want   to   tackle   that,   but   for   now,   let's   just   keep   it   to,   I   think,   people   in   their   20s   and   30s.   Again,   f-   I'm   forgetting   to   write   this   down   and   I'm   gonna   forget   later   myself.  
**Interviewer:** Mm-hmm.  
**Candidate:** So   people   in   their   20s   and   30s   in   the   US   that,   uh,   our   first   user   segment   is   gonna   be   that   have   never   invested   and   are   not   doing   well   financially.   They   might,   um...   By   the   way,   they   might   have   different   financial   situations.   Some   of   them   might   have   debts,   some   of   them   students   debt,   debts,   different   family   situations.   Um,   we're   gonna   just   for   now   set   that   aside   and   we   might   deal   with   that   when   we're   talking   about   edge   cases   and   making   s-   sort   of   sanity   checking   ourselves.   But   for   now,   let's   just   call   it   people   that   basically   have   not   invested.   And   there   are   also   other   folks   that   actually   are   sort   of,   uh,   beginner   investors.   And   the   difference   why   I   want   to   kind   of   call   out   the   different   there   is   because   th-   the   first   group   of   people,   they   have   not   invested,   so   they   might   not   even,   uh,   have   an   interest   in   investing.   They   might   not   know   of   the   different   ways   that   you   can   invest,   the   different   apps   that   are   available,   different   products,   and   the   beginner   investors,   they   might.   And   so   there   you   get   into   discussion   of   competi-   competitors   and,   uh,   uh,   already   a   certain   level   of   acumen   of   this   investor,   and   we   might   have   different   considerations.   Let's   just   stop   there   because   we   have   so   much   ground   to   cover.   We'll   stop   with   those   folks.   Does   that   sound   good?   Like   should   we   keep   looking   or   is   that   okay   for   now?  
**Interviewer:** Yeah,   thanks   for   checking   in.   I'd   love   to   hammer   in   on   th-   those   user   segments.   That   sounds   great.   I   do   wanna   be   mindful   of   time   too.   So   if   we   can   maybe,   uh,   focus   on   getting   to   our   point   where   we   can   really   improve   that   product-  
**Candidate:** Yes.  
**Interviewer:** ...   for   those   users,   that   would   be   awesome.   Um-  
**Candidate:** Sounds   good.   So   w-   why   don't   we   stick...   In   that   case,   we're   gonna   choose   just   one   of   those.  
**Interviewer:** Great.  
**Candidate:** And   we're   gonna   go   with   the   folks   that   have   never   invested,   the   folks   that   have   never   invested.   So   let's   talk   about   the   problem   that   those   folks   have.   So   they   have   a...   The   first   problem   that   they   have   is   that   they   don't   know   they   need   to   invest,   so   it's   just   an   educational.   We're   gonna   call   this   an   educational   gap.   And   then   after   that   it's,   we're   gonna   call   all,   uh,   o-   obstacles,   so   all   the   actual   obstacles   that   are   in   the   way   of   investing.   And   then   that,   it   could   be,   uh,   the,   the   educational   part   is   they   don't   know   about   it   and   the   obstacles   are   they   don't   know   how   to   start,   they   don't   know   where   to   invest.   Like,   "I   don't   know   where   to   invest.   I   don't   know   how   to   start   investing."  
**Interviewer:** Mm-hmm.  
