Problem: Meta/Facebook Product Manager Mock Interview: Meta/Facebook Movies
Problem Type: Product Design
Firm: Meta
**Candidate:** Okay.   Awesome.   So   I   think   the   way   that   I'd   like   to   go   about   this,   um,   first   I'll   talk   a   little   bit   about   Facebook's   mission   and   strategy   and   why   we   might   be   interested   in   getting   into   a   movie   product.   Um,   from   there,   I'll   do   a   customer   segmentation   and   prioritize   one,   and   then   we'll   do   a   quick   brainstorm   about   potential   pain   points   and   needs,   um,   prioritize   one   of   those.   And   then   from   there,   we'll   come   up   with   a   few   solutions   and   we'll,   we'll   evaluate   on   impact   and   maybe   a   couple   other   key   metrics   to   pick   one.   And   then   I'll   walk   you   through   how   I   think   I   would   do   an   MVP.   Does   that   sound   good?  
**Interviewer:** Sounds   great.   Thanks   for   mapping   it   out.  
**Candidate:** Awesome.   So   I'm   just   gonna   take   a   quick   second   to   jot   down   my   thoughts   here.  
**Interviewer:** Awesome.   Take   your   time.  
**Candidate:** All   right.   So   Facebook's   mission   is   to   connect   the   world   and   bring   people   closer   together   and   to   give   people   a   platform   to   express   themselves   about   the   things   that   they   care   about.   So   it   totally   makes   sense   to   me   as   to   why   we   would   be   interested   in   moving   further   into   the   movie   space.   I   think   movies   and   cinema   and   entertainment   in   general   is   something   that   people   have   used   to   connect   together,   um,   since   me-   movies   were   invented,   and   I   think   it   has   really   global   appeal.   It   doesn't   matter   where   you're   from.   Pretty   much   everyone   enjoys,   um,   getting   together   with   friends   and   families   and   broader   social   communities   around   movies.   Um,   and   also   I   think   Facebook   is   making   a   lot   of   big   bets   in   the   general   video   realm.   So   on   Facebook   Watch,   I   know   there's   a   big   push   to   really   make   Facebook   a   home   for   entertainment   and   not   just   that,   that   social   use   case,   but   that   you   would   actually   be   going   to   the   app   specifically   to,   to   be   entertained   in   your   downtime.   Um,   I   know   thinking   about   the   platform,   Instagram   TV   also   pursuing   a   similar   approach,   um,   to   really   provide   a   hub   for   all   of   that   types   of   content.   So   I   think   there's   the   division   also   between   there's   creator   content   and   then   there's   kind   of   more   premium,   uh,   kind   of   produced   content.   So   movies   to   me   would   maybe   sit   within   there.   I   think   we   could   talk   about,   you   know,   what   does   it   mean   to   be   a   movie?   Does   that   necessarily   predicate   it's   coming   from   Hollywood   or,   or   wherever,   or,   um,   would   we   include   maybe   creator   movies   and   individual   movies   within   that?   Um,   but   yeah,   overall   I   think   that   movies   is   something   that's   important   to   think   about.   Um,   there   are   some   competitors   in   this   space.   I   think   Netflix   would   be   the   first   one   that   comes   to   mind.   And   it's   crowded.   I   mean,   Amazon   offers   movies   as   well,   Hulu.   Um,   so   I   want   to   think   about   how   can   we   offer   something   that's   really   differentiated.  
**Interviewer:** Got   it.   Yeah.   And,   and   on   that   note,   like,   I   suppose   what,   what,   what   do   you   think   you'd   lead   into   when   you   think   about   the   com-   competition   to   Facebook?  
**Candidate:** Yeah.   So   I   would   say   what   is   Facebook's   strength   that,   that   these   other   providers   don't   have?   And   that   to   me   is   really   the   social   graph.   The   power   of   that   connection   between   friends   and   family,   um,   enables   you   to,   uh,   unlock   so   much   more   value   both   in   the   watching   experience,   but   also   in   terms   of   content   recommendation.   So   I   would   say   that   would   be   the   angle   that   I   would   want   to   really   emphasize   here   to,   uh,   help   us   provide   something   that   people   would   really   be   excited   about.  
**Interviewer:** Awesome.   Cool.  
**Candidate:** Okay.   So   now   I'm   gonna   do   a   quick   customer   segmentation.  
**Interviewer:** Cool.  
**Candidate:** All   right.   So   the   way   that   I   see   it,   um,   in   terms   of   segmentation   for   a   movie   product,   I   feel   like   there's   two   big   buckets.   On   the   one   hand   there   are   creators   and   on   the   other   hand   there's   viewers.   So   digging   a   little   bit   deeper   on   the   creator   side,   I   felt   like   there   were   three   constituencies.   Um,   there's   a   professional   creator   vertical,   which   includes   kind   of   major   professional,   like   Hollywood   type,   you   know,   major   motion   films.   Um,   then   I   would   say   there's   kind   of   professional   influencer.   Um,   I   think   longer   form   content   you   don't   necessarily   think   of   as   like   the   same   types   of   influencers   on   Instagram.   So   maybe   that's   more   like   indie   film   creators,   not,   not   quite   on   the   same   level   as   like   Hollywood.   Um,   and   then   on   the   viewer   side,   I   thought   I   could   bucket   that   maybe   around   usage,   like   high   usage   and   low   usage.   So-I   think,   you   know,   what   is   our   goal   here,   um,   you   know,   is   creating   a   movie   product   for   Facebook.   Is   there   any   more   specific   goal   you   want   me   to   focus   on   when   I   prioritize   here?   Otherwise,   I   would   probably   prioritize   on,   uh,   scale   or   scope   and   impact,   so   basically   how   many   potential   users   are   in   here   and,   uh,   which   segment   do   we   think   maybe   might   be   most   impactful   to,   to   work   for.  
**Interviewer:** That   sounds   like   a   great   call.   You   can   go   with,   run   with   that,   yeah.  
**Candidate:** Okay.   So   I   think   the   one   that   stands   out   to   me,   um,   would   maybe   be   on   the   creator's   side   and   I'm   ...   Actually,   I   think   I   missed   one   of   my   buckets   here,   which   was,   uh,   a   third   type   of   creator,   which   is   a   everyday   person   who   might   wanna   create   a   movie.   Um,   and   I   think   I   wanna   go   in   that   direction   and   here's   why.   It's   specifically   around   that,   um,   kind   of   competitive   advantage   around   the   social   graph.   I   feel   like   you   could   leverage   that   to   make   the   creator   experience   of   actually   making   a   movie   a   more   social   experience.   I   haven't   fully   fleshed   out   how   that   might   be   the   case,   but   to   me,   that   feels   like   right   now   when   you   create   content,   it's   siloed.   Either   you're   alone   on   your   phone   or   you're,   like,   a   fully   professional   person   with   a   whole   team.   But   i-   is   there   some,   is   there   some   way   that   we   can   unlock   that   creative   experience   that's   more   social?  
**Interviewer:** Hmm.   Got   it.   Yeah,   super   interesting.   So,   um,   you're   sort   of   thinking   about,   like,   the   creative   experience   being   a   social   one,   basically?  
**Candidate:** Yeah.  
**Interviewer:** Like-  
**Candidate:** Mm-hmm.  
**Interviewer:** Yeah,   got   it.  
**Candidate:** And   I   think   if   we   look   about   the   scope   of,   of,   um,   this   segmentation,   if   we   consider,   um,   pretty   much   any   user   that   has   created   some   sort   of   video   content   in   the   past   and   maybe   take   a   percentage   of   those   that   have   not   yet   that   might   be   pulled   into   the   market   with   this   product,   um,   I   think   that   actually   has   a   very   large   scope   compared   to   the   other   cre-   creator's   sides,   which   are   more,   um,   kind   of   concentrated   within   influencers   or   seriously   concentrated   in,   like,   uh,   Fox   and   Sony   and   those   types   of   places.  
**Interviewer:** Got   it,   got   it.   Makes   sense.  
**Candidate:** Um,   are   you   okay   with   that   direction?  
**Interviewer:** Yeah,   that   sounds   good.   I,   I'd   love   to   hear   maybe   just,   like,   a   qu-   quick   thing,   um,   about   maybe   one   of   the   other   customer   segments   and   why   you   didn't   pick   that   one.   You   can   pick   this   one.  
**Candidate:** Yeah.  
**Interviewer:** Yeah.  
**Candidate:** So   I   thought   about   the   viewer   side   as   well,   i-   this   is   really   like   a   two-sided   marketplace   to   me.   You   have   the   creation   and   then   you   have   the   viewing.   Um,   but   I   think   right   now,   uh,   Facebook   Watch   already   has   pretty   good   UI   in   terms   of   viewing   and   I   think   we   can   leverage   that,   um,   and   w-   we   have   really   good   kind   of   social   features   around   if   you're   watching   together,   you   can   comment   or   react   and   you   can   see   the   reactions   going   by   and   I   think   that   that   is   a   great   start.   Um,   I   think   that's   exciting,   but   to   me,   it's   much   more   a   kind   of   zero   to   one   unmet   need   around   that   social   side   that   I   don't   feel   is   being   served   right   now-  
**Interviewer:** Got   it.  
**Candidate:** ...   on   the   creator   side.  
**Interviewer:** Got   it.   Yeah,   I   think   that's   a,   a   great,   innovative   perspective,   which   is   that   socialness,   you   know,   naively   might   come   from   the   viewer's   perspective   from   someone   looking   at   this   problem,   but   there's   actually   a   way   to   add   a   socialness   to   the   creator's   perspective.   So   I'm   curious   to   see   what   we   come   up   with.  
**Candidate:** Yeah.   Okay,   so   I'm   going   to   take   a   minute   now   to   brainstorm   some   pain   points   that   creators   would   have   around   it   being   maybe   not   that   social   in   the   creative   process.  
**Interviewer:** Awesome.   Take   your   time.  
**Candidate:** Okay.   Okay,   so   I   thought   of   four   pain   points,   um,   around   the   whole   creation   process,   uh,   being   not   social.   So   what   are   some   pain   points   that   people   experience   by   creating   alone?   Um,   the   first   one   is   wondering,   is   my   idea   any   good?   So   i-   is   the   overall   theme   that   I'm   approaching,   my   script,   or   the,   just   the   general   pitch   of   my   movie,   is   that   something   that   is   interesting   and   valuable   to   people?   I   think   that's   something   that   can   be   really   hard   if   you're   in   your   own   personal   mental   echo   chamber   to   know.   And   if   you   make   a   movie   that   no   one's   interested   in,   you   basically   wasted   all   your   time.  
**Interviewer:** Mm-hmm.  
**Candidate:** Um,   so   that's   the   first   one.   The   next   one   is   maybe   that   it's   a   lonely   experience.   I   think   this   one   especially   came   to   mind   given   we   are   in,   uh,   socially   distanced   times   right   now.  
**Interviewer:** Yep.  
**Candidate:** But   that   I   see   a   ton   of   people   on   my   feed,   you   know,   recording   themselves   alone   in   their   various   places.   So   is   there   some   way   to   make   that   recording   process   a   little   bit   more   communal?   Um,   I   know   a   lot   of   movies   are   even   trying   to   be   recorded   via   Zoom   right   now.   Like,   this   interview   itself   is   being   recorded   via   Zoom   right   now   (laughs) -  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   so   i-   is   there   some   way   we   can,   um,   make   that   a   more,   more   communal   experience?   Um,   the   next   one   was   around,   like,   okay,   maybe   I   lack   all   the   skills   needed   to   get   my   movie   to   full   fruition.   So,   maybe   I'm   really   great   at   filming,   but   I'm   not   good   at   acting.   Or   maybe   I'm   great   at   script   writing   or   sound   editing,   but,   um,   not,   not   the   next   step.   So,   is   there   a   way   to,   to   bring   in   more   people   with   more   skills   somehow?   Um,   and   then   last   one,   this   was   around   maybe,   like,   can   my   audience   be   bigger?   Like,   as   one   person,   I   only   have   a   certain   amount   of   reach   in   terms   of,   um,   my,   my   general   population   that   I   can   reach   out   to   of   friends   and   family   in   my   network.   So,   uh,   is,   is   there   an   opportunity   to   leverage   more   people   to   bring   that   bigger   audience   and   make   the   movie   more   of   a   success?  
**Interviewer:** Got   it.   This   is   an   awesome   list.   Um,   yeah,   what,   what   are   you   sort   of   thinking   are   the   priorities   here   with   the   pain   points?  
**Candidate:** So,   I   think   I   really   want   to   measure,   like,   impact   to   goals.   So   if   our   goal   is,   you   know,   to   make   a   movie   product   for   Facebook   that   is   inherently   social,   which   one   do   we   believe   will   have   the   most   impact?   Um,   so   I   would   s-   probably   try   to   see   which   one   is   the   biggest   pain.   Um,   so   looking   through,   I   think   there's   definitely   some   immediacy   around   the   loneliness   of   creating,   and   I   think   this   one's   differentiated   too   because   most   of   the   ways   that   individual   people   create   video   for   social   media   is   with,   like,   the,   the   front-facing   cam,   like,   is   in   itself   a,   a   lonely   experience.   So   that   one   to   me   feels   highly   impactful   to   this   goal.Um,   let   me   see.   And   I   think   another   one   that   stands   out   is,   like,   can   my   audience   be   bigger?   I   think   there   actually   might   be   an   opportunity   to   tie   those   two   together,   um,   if,   if   you're   doing   this   in   a   more   social   way,   'cause   there   may   be   a,   a,   as   an   end   point   that   the   audience   would   be   magnified   as   a   result.  
**Interviewer:** Totally.   Yeah.   I   think...   I,   I   really   thought   the   lonely   experience   one   was   interesting   'cause   it's   kind   of   a   not   thought   about   problem,   but   definitely   true.   And,   uh,   yeah,   particularly   presently   a   problem   for   this   day.   So   yeah-  
**Candidate:** Yeah.  
**Interviewer:** ...   I'm   curious   about   that   one.  
**Candidate:** I   think   it's   interesting   'cause   it's   in-   it's   almost   inherent   in   the   workflow   today   of   how,   how   video   exists.   So-  
**Interviewer:** Mm-hmm.  
**Candidate:** That,   to   me,   signals   that   there's   maybe   a   new   way   to,   to   think   about   it   that   could   be   really   additive.   Um-  
**Interviewer:** Definitely.  
**Candidate:** To   mention   one   that   I   didn't   pick,   so   lacking   skills.   I   think   that   that's   an   interesting   one,   that   to   me   feels   a   little   bit   outside   of   Facebook's   wheelhouse.   Um,   I   would   expect   that   that's   more   on   the,   like,   Final   Cut   Pro,   um,   maybe   Reddit   boards   or   w-   wherever   creatives   go   to,   to   meet   up   and   co-   collaborate   together.   And   I   think   that,   um,   probably   it   would   be   better   served   to   focus   more   on   that   in   essence   of   socialness   in   itself.  
**Interviewer:** Got   it.   Yeah,   that   makes   sense.  
**Candidate:** Okay.   So   we're   gonna   focus   on   this   I'm   lonely,   and   maybe   we'll   see   if   the   audience   can   be   broadened   as   a   result.   But   really   the,   the   main   pain   point   is   the   loneliness   here.   Okay,   so   I   will   take   a   minute   now   to   brainstorm   some   solutions   for   this.  
**Interviewer:** Okay.  
**Candidate:** Okay,   so   I've   thought   of   three   potential   solutions   here.   Um,   the   first   one   is   something   we   could   probably   MVP   via   groups,   but   this   would   be   around   creating   creative   groups   for   moral   support   kind   of   throughout   the   movie   process.   So,   um,   you   could   join   this   particular   subset   and   let   people   know   about   your   general   project   timeline,   and   they   could   kind   of   check   in   with   you   and   give   you   kudos   and   be   a   sounding   board   for   ideas   as   you   move   on.   And   I   could   see   this   being   really   beneficial   to   also   have,   like,   networking   between   creatives,   um,   so   that   if   you're   part   of   this   group   then   you   can,   um,   more   easily   work   together   in   the   future   and   kind   of   percolate   from   the   hive   mind   of,   of   creative   ideas.   Um,   the   next   idea   I   had   was,   uh,   this   new   feature   for   Portal   called   Portal   Audience.   So   this   would   be   a   way   to   really   quickly   get   viewers   earlier   on   in   the   creative   process.   So   if   you're   recording   via   Portal,   uh,   people   could   just   join   in   and   drop   in   and   see   what   you're   up   to,   and   you   could   talk   to   them.   Um,   but   they   would   be   kind   of   like   a   one-to-many.   Um,   I   think   there's   some   privacy   concerns   there,   we   could   talk   about   how   we   could   set   up   those   features.   But,   um,   that   could   be   a   fun   way   to   kind   of   get,   get   more   people   in,   in   your   creative   room.   And   the   last   idea,   so   this   one   is   a   little   bit   out   there,   but   I   think   there's   an   opportunity   to   maybe,   like,   create   a   movie   together   through   Facebook.   So,   um,   I   got   this   idea   through,   like,   the   moments   that   you   can   share,   like,   with   your   friends   when   it's   your   friendversary   and   they,   you   can   create   a   movie   of   your   friendship.   So   what   if   we   went   even   a   step   further   with   that   and   we   made   it   so   that   you   could   create   an   actual   recording   movie   with   your   friends   and   film   each   scene   and   kind   of   hand   it   off?   So   you   could   even   do   it   asynchronously,   and   kind   of   slowly   create   a   movie   over   time.   Mm,   I'm   thinking   even   further   about   this   now.   Maybe   it   could   be,   like,   you   know   the   movie   Boyhood,   how   they   kind   of   record   little   snippets,   like,   uh,   I   don't   know   if   it's   a   minute   a   day,   but   just   over   his   whole   life?   So   maybe   you   could   make   the   video   of   your   life   on   Facebook.   I   think   that   would   align   really   well   with,   um,   the   rest   of   the   platform   having,   um,   your   memories   over   time  
**Interviewer:** Yeah,   super   interesting.   And   so   for   that   last   idea,   like,   it's   sort   of...   I   would   love   to   hear   a   little   bit   more   kind   of   what,   what   you're   imagining   and,   and   I   guess   also   hearing   your   preference   on   which   one   you   want   to   dive   into   and   which   one,   um,   sounds   exciting   in   terms   of   moving   forward.  
**Candidate:** I   think,   I   think   I   am   excited   about   this   last   one   as   I'm   thinking   about   it   more.   I   think   really   it   aligns   well,   um,   both   on   the   social   experience   with   being   able   to   create   something   together,   but   also-  
**Interviewer:** Yeah.  
**Candidate:** ...   in   Facebook's   bread   and   butter,   which   is,   you   know,   kind   of   collecting,   um,   memories   and   moments,   uh,   between   you   and   your   friends   and   family.   So   I,   I   think   that's   the   one   I   want   to   go   with.   Uh,   I   think,   you   know,   to   put   metrics   around   it,   it   would   be,   like,   impact.   I   might   think   about   effort   as   well.   I   think   this   one   is   probably   a   little   higher   effort   than   creating   groups   for   moral   support,   for   example.   But   I   think   the   impact   would   be   super,   super   high,   um,   on   making   movies   a   more   inclusive,   social,   creative   process,   and   maybe   potentially   impact   a   lot   of   people's   lives   for   the   better   if   they   are   able   to   kind   of   chronicle   their   life   over   time,   um,   and   everyone   could   have   their   own   personal   movie.   That   could   be   very   rewarding   and   special.  
**Interviewer:** Yeah,   totally.   And   I   mean,   there's   a   lot   of   interesting   thought   there,   just   like   even   the   statement   you   just   said   about   everyone   having   their   own   personal   movie   and   like   what   that   even   means   for   people   and   how   they   view   their   lives.   Um,   but   yeah,   I'm   curious,   like,   yeah,   tell   me   a   little   bit   more   about   kind   of   what   you're   imagining   in   this   experience.   And   I   would   love   to   just   maybe   poke   out   some   of   the   features   or   hear   a   little   bit   about   what   the   high   priority   features   would   be.  
**Candidate:** Yeah,   absolutely.   So   I   think   this   would   be...   probably   it   could   live   under,   uh,   c-   creating   a   video   post   in   the   near   term,   and   it   could   ask   you,   like,   "Oh,   do   you   wanna   add   this   to   your   movie?"   So   actually   maybe   it   could   be   super,   super   lean   whenever   you're,   like,   sharing   a   story   or   something,   instead   of   kind   of   collecting   it   to   memories   you   could   say,   "Do   you   wanna   add   this   to   your   movie?"   And   that   could   be   the   first   discovery   point.   And   then   it   could   explain   like,   yeah,   you   know,   it's   collecting   movie   over   the   course   of   your   life.   I   think   there   could   be   a   separate   entry   point   within   Facebook   Watch   if   you're   like,   "I'm   a   more   real   deal   video   creator   and   I'm   gonna   have   my   army   of   socially   distant   creators   to   make   this   amazing   thriller."   I   don't   know.   Um,   and   so   then   you   could   go   to   Watch   specifically,   and   I   think   then   there   would   be   probably   some   sort   of,   like,   of   the   video   pop   up   and   you   could   hit   record.   Um,   there   probably   need   to   be   some   really   basic   editing,   just   probably   trimming   on   the   ends   initially.   I   don't   think   we   need   to   get   too   far   into   kind   of   more   mechanics   of   effects   and   sound   editing   at   the   initial   point.  
**Interviewer:** Sure.  
**Candidate:** Um-And   then   there's   probably   something   of,   like,   tagging   people   in   the   project.   So   you   could   probably   add   people   in   and   remove   them.   I   could   see   if   someone's   just   doing   a   little   moment,   maybe   you   don't   want   them   in   there   the   whole   time.   Um,   and   then   there's   somewhere   you'd   need   a   database   to   store   all   of   these   movies.   If   this   is   longer   form   content,   then   e-   there's   definitely   storage   that   we   need   to   think   about.   Um,   and   then   maybe   it's   like,   do   you   have   like   a   publish   versus   still   editing   mode?   I   think   definitely.   So   there   probably   needs   to   be   some   sort   of   like   My   Library   of,   of   existing   in-process   movies   and   ones   that   are   already   published.  
**Interviewer:** Definitely.   Um,   I'm   curious,   like   so,   you   know,   a-   and   maybe   the   answer   sort   of   is   baked   into   my   question,   but   um,   YouTube   is   obviously   a   place   also   for   people   to   upload   and,   and   brainstorm   and   create   some   of   these   like   maybe   lower   fidelity   or,   or   sort   of   like   lighter   weight   videos   and   movie   experiences.   Um,   so   Facebook's   like,   i-   in   this   w-   world   that   Facebook   is   creating   like   how   will   you   really   leverage   some   of   the   social   stuff   to   really   differentiate   it   from   YouTube?  
**Candidate:** Yeah.   I   think   it's   really   about   like   tagging   other   people   to   be   able   to   add   one   of   their   videos   to   your,   your   life   movie   or   your   thriller.   I   think   both   can   work.   Um,   and   yeah,   maybe   you   can   even   have   people   as   contributors   over   time.   So   I   think   with   YouTube,   right,   you   finish   something,   you   upload   it,   that's   it.   Um,   maybe   there's   a   little   bit   of   editing   you   can   do.   Versus   this   is   kind   of   a   continuous   ongoing   project   that   again,   can   be   asynchronous,   that   you   can   tag   your   friends   and   do   it,   do   it   later   in   little   chunks   that   measure   up   to   something   really   big   and   meaningful.  
**Interviewer:** Totally.   Yeah,   it   sounds   like   we're   almost   inventing   a   new   type   of   content   in   general,   like   that   doesn't   really   exist   right   now,   but   like   what   if   we   can   make   these   movie   experiences   that   were   both   living   and   social   in   the   way   that   they   were   created   and   added   to.  
**Candidate:** Yeah.  
**Interviewer:** So...  
**Candidate:** I   love   that.   Living   is   the   exact   word.  
**Interviewer:** Yeah.   (laughs)   Yeah,   I'm   curious   like   for   you   also   like,   so   what,   what   are   some   w-   worries   that   you   have   about   this?   Like,   you   know,   obviously   this   is   a   new   type   of   content,   it   could   be   a   lot   of   work,   but   like   what   are,   what   are   some   of   the   key   issues   that   you're   worried   about   when   thinking   about   moving   in   this   direction   or   designing   in   this   direction?  
**Candidate:** Yeah.   I   think,   um,   the   first   thing   that   comes   to   mind   is   privacy.   So   if   you   are   chronicling   someone's   entire   life,   I   think,   you   know,   there's   a   lot   of   questions   there   and   maybe   someone's   okay   with   it   when   they   start,   but   then   they're   40   and   they're   no   longer   okay   with   it.   So   how,   how   do   we   manage   that?   Um,   I   think   there's   another   one   around   like   retention.   So   if   this   is   something   that   you're   not   posting   for   years,   then   the   value   to   the   user...   Well,   I   mean,   there's   a   huge   peak   in   value   when   you   post   it.   Um,   there's   definitely   value   through   chronologging   it,   um,   or   chronicling   it.   But   can   we   make   sure   that   people   still   stay   engaged   and   excited   if   they're   not   posting   it   till   that   point?   Do   they   want   to   post   it   in   chapters?   Is   this   something   that   we   want   to   make   visible   sooner?   I   think   that's   definitely   something   I'd   want   to   experiment   with   pretty   early   on   to   understand.  
**Interviewer:** Totally.   That   makes   sense.   Um,   yeah,   I   guess   I'm   also   curious,   so   yeah,   I   mean   obv-   obviously   privacy   will   be   important   because   you   might   not   want   to   show   everyone   your   life   story.   You   might   want   to   show   parts   of   it,   things   like   that.   Um,   yeah.   So   I,   I'm,   I'm   curious,   I   guess   like,   uh,   as   a   last   maybe   w-   follow-up   question,   like   yeah,   what,   what   metrics   would   you   look   at   here   to   see   or   evaluate   the   success   of   this   product?  
**Candidate:** Yeah.  
**Interviewer:** And,   and   yeah,   feel   free   to   add   other   pieces   also,   by   the   way,   if   there   are   other   points   you   wanted   to   touch   on   that   we   didn't   get   to   as   we   start   to   wrap   up   the   interview.  
**Candidate:** Mm-hmm.   So   I   think   in   terms   of   metrics,   there...   It   definitely   depends   on   like   what   stage.   If   this   is   at   launch,   I   would   be   concerned   more   tactically,   like   is   this   working?   Are   people   able   to   use   these   features?   Versus   more   downstream,   I'd   be   interested   in   engagement   around   the   actual   posts   themselves.  
**Interviewer:** Mm-hmm.  
**Candidate:** Um,   I   think   that   does   again   call   into   question   like   when   are   people   posting?   If   we're   posting   more   in   chapters,   then   we   can   test   engagement   sooner.   Um,   I   think   retention   is   another   one.   So   I   think   my   first   metric   would   probably   be   like   c-   click-through   and   maybe   nu-   number   of,   number   of   installments   added   on   average   per   user.   Um,   I   probably   want   to   look   at   a   monthly   number   if   this   is   something   that   I   wouldn't   expect   people   to   do   it   necessarily   every   day,   but   probably   a   couple   times   a   month   if   that's   really   the   use   case   we're   going   to.   Um,   I   probably   also   want   to   look   at   the   average   length   of   an   installment.   I   think   that   has   important   implications   on   the   storage   side,   which   is   more,   more   of   an   infrastructure   thing,   but   I   think   that's   important   to   consider.   Um,   and   I   probably   also   want   to   look   at   the   average   number   of   friends   included   in   a   creation   process.   I   think   the...   a   key   hypothesis   here   is   this   isn't   solo   creating,   this   is   a   social   living   creator   experience.   So   I   would   want   to   definitely   validate   that   by   seeing   additional   people   added.   I   don't   know   what   the   sweet   spot   is   there,   but   definitely   more   than   one   person.   Um,   yeah.   And   on   the,   on   the   retention   side,   I'd   probably   want   to   look   at   the,   the   two-month   retention   for   the   feature.   So   of   the   users   who   added   something   a   month   ago,   are   they   still   adding,   um,   30   days   later   basically?  
**Interviewer:** Got   it,   got   it.   Super   helpful.   Um,   cool.   Well,   is   there   other   p-   pieces   to   this   interview   that,   that   we   didn't   get   to   touch   on   or   pieces   you   wanted   to   add   or   clarify   or   hone   in   on   before   we   start   to   wrap   it   up?  
**Candidate:** Um,   I   guess   maybe   there's   something   around   discovery.   So   I   mentioned   maybe   we,   we   could   put   that   in,   in   Stories   as   a   first   point,   but   I   do   want   it   to   be   differentiated.   So   do   we   do   a,   a   big   splash?   Like   do   we   even   launch   a   movie   like   Boyhood-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   um,   to   promote   this?   Or   how,   how   do   we   let   people   know   that   this   is   a   new   special   different   way   of,   of   chronicling   your   life   and   of   creating   video   that   is   social   and   living?   Um,   I   think   there's   an   opportunity   to   make   a   really   big   splash   to,   to   actually   do   a   video,   um,   even   if   that's   like   a   year.   Um,   so   yeah,   I,   I   would   be   considering   that   roll   out   plan   or   maybe   we   just   want   to   focus   on   a   particular   country   and   tell   the   story   of   that   country   and   then   wait   for   that   to   gain   momentum.  
**Interviewer:** Yeah.   Yeah,   I   think   it's   interesting,   like   it   sounds   like   there's   a   couple   angles   here   also   about   like,   you   know,   is   it   your   own   living   story   or   is   it...   you   know,   like,   and,   and   maybe   really   tapping   into   that   desire   to   chronicle   one's   life.   Um,   but   then   also   maybe   just   like   this   creative   energy   too   and,   and   sort   of   like-  
**Candidate:** Yeah.  
**Interviewer:** ...   which   direction   it   goes   would   be   interesting.  
**Candidate:** Mm-hmm.   I   do   think   there's   two   user   segments.   I   think   there's   the   one   which   is   chronicling   your   life   and   there's   the   other   one   which   is   more   like-...   I'm   an   indie   film   producer-  
**Interviewer:** Right,   right,   right,   right.  
**Candidate:** ...   and   I   want   to   use   this-  
**Interviewer:** Yeah.  
**Candidate:** ...   type   of   producing.  
**Interviewer:** (laughs)   I   guess,   yeah,   like,   a   last   question   maybe   before   we   close   would   be,   like,   which   one   of   those   two   pop-   user   populations   would   you   prioritize?  
**Candidate:** I   think   the   more   general   user.   Um,   as   we   talked   about   it,   it   really   sounded   to   me   like   a   big   opportunity   that   could   impact   any   everyday   person,   and   so   I   think   the   scope   is   much   larger.   I   think,   uh,   that's   great   if   indie   film   producers   can   get   value   out   of   that-  
**Interviewer:** (coughs)  
