Problem: fitness app for Meta
Problem Type: Product Sense
Firm: Meta
**Candidate:** Thank   you   so   much.   So,   shall   we   move   on   to   maybe,   like,   focusing   on   the-   the   demand   side,   casual   workout.   I   want   to   think   about   their   pain   points.   Um-  
**Interviewer:** Okay.  
**Candidate:** So,   the   pain   points,   um,   I   consider   myself   a   casual   workout,   I   don't   do   it   every   day.   Um,   couple   of   the   pain   points,   um,   come   to   mind.   One   is,   um,   just   the   schedule.   Um,   a   lot   of   professionals,   like,   working   professionals,   um,   they   have   a   busy   schedule,   so   workout   might   not   be   something   that's   already   in   their   daily   routine.   So,   that's   one.   The   other   one,   I   think   is   related   to,   like,   equipment.   Um,   workout   could   be   many   different   things.   Um,   but   some   requires,   like,   a   punching   bag   or   a   treadmill.   Not   everyone   has   access   to   (laughs)   that.   And   I   think   the   third   one   is,   uh,   a   combination   of   different   things,   but   I   think   the   summary   is   motivation.   Uh,   people   might   not   find   motivated   enough,   um,   to   get   up   in   the   morning   to   work   out,   or   they   could   get   bored   and   then   just   drop   out.   So,   I   think   motivation   is   like   a   summary   of   the   pain   point   that   a   lot   of   casual   workout   people   might   face   when   they   are   trying   to   decide   what   to   do.   Um,   I'm   gonna   pause   right   there   just   to   get   your   reaction   on   how   do   these   pain   points   resonate   with   you.   Is   there   any   direction   you   want   me   to   focus   a   little   bit   more   on?  
**Interviewer:** First   of   all,   thank   you   for   checking   in   with   me.   I   think   these   all   make   sense.   I   think...   Where   do   you   think   that   understanding   what   to   do   and   knowing   what   to   do,   where   do   you   think   that   fits   in   here?  
**Candidate:** I   think   to   help   me   figure   out   what   to   do   here,   I   would   probably   leverage   couple   things.   Uh,   the   first   one   is-  
**Interviewer:** No,   no,   no.   I-   I   didn't   explain   myself   well.   I'm   sorry.   I   meant,   when   you're   thinking   about   the   people,   the   casual,   uh,   worker-outers,   how   do   you   think   access   to   information   influences   their   ability   to   become   more   fit   or   to   meet   their   goals?  
**Candidate:** Hmm.   I   think   it's   relevant   to   what   they   are   looking   for,   and   I   think   Meta   might   have   the   network   they   can   tap   into   to   look   for   the   information.   Like,   maybe   they   can   look   up   what   their   friends   are   doing,   or   they   could   look   up   to   what   their   coaches-   coach   is   recommending.   So,   I   think,   uh,   the   social   graph,   I   think   that   might   be   a   feature   that   Meta   is   known   for,   is   fine-tuning   that   connection   and   the   information   shared   among,   uh,   these   people.   So,   I   definitely   think   the   information   plays   a   huge   part,   especially   in   terms   of   information   and   then   how   these   casual   workouts   people   could   get   help   from.  
**Interviewer:** Okay,   cool.   When   you're   comparing   information   and   motivation   as   two   problems,   how   do   you   think   about   which   of   these   is   more   important   to   prioritize?   How   would   you   go   about   that?  
**Candidate:** I   think   they   are   interrelated.   Um,   a   lot   of   people   lack   motivation   because   they   don't   know   where   to   look.  
**Interviewer:** Mm-hmm.   It's   daunting.  
**Candidate:** It   is   daunting,   and   a   lot   of   people   probably   feel   that   about   Meta   too.   Meta   was   around   at   least   10-plus   years,   and   over   time,   Meta   has   so   many   products,   um,   and   with   each   product,   there's   different   pieces   of   information.   So,   for   casual   workout   folks-...   the   information   might   be   daunting,   so   they   don't   necessarily   know   where   to   look   for   that   help.   That's   why   I   think,   like,   the   fitness   is   interesting   and   definitely   there's   already   a   lot   of   portfolio   within   Meta   that   could   be   built   around   driving   the   wellness   and   health   for   the   users.  
**Interviewer:** And   when   you're   thinking   about   these   problems,   how   would   you   validate   which   of   these   problems   is   the   most   pressing?  
**Candidate:** Uh,   in   terms   of   validation,   um,   Meta   has   a   lot   of   data.   I   definitely   wanted   to   tap   into   that.   Uh,   I   also   would   argue   there's   information   outside   of   Meta,   um,   like   the   trends   or   market   map,   or   even   was   past   COVID,   how   people's   health   habit   evolve.   I   think   there's   a   lot   of   first   and   third   party   quantitative   and   qualitative,   uh,   study   I   could   study...   uh,   look   into,   to   see   if   that   validates   my   hypotheses   that   information   overload   could   be   one   of   the   hinderance   that   prevents-  
**Interviewer:** Hmm.  
**Candidate:** ...   people   to   work   out.  
**Interviewer:** So,   it's   interesting.   You're   saying   there's   both   that   as-   aspect   of   too   much   information   and   not   enough   information   at   the   same   time,   which   makes   it   very   daunting   to   users,   as   y-   as   you   said   a   second   ago.  
**Candidate:** Yeah,   the   right   information.   Having   information   is   not   enough.   It   has   to   be,   I   think,   right,   right   place,   right   time,   and   right   information   in   general.  
**Interviewer:** Wonderful.  
**Candidate:** Um.  
**Interviewer:** Okay.  
**Candidate:** So,   uh,   I   think   how   I   might   prioritize   these   pain   points,   and   thank   you   for   guiding   me   to   think   more   about   the   information   versus,   like,   which   specific   pain   points   might   be   most   related   to   Meta's   mission   and   strength,   which   is   a   sea   of   data,   sea   of   information.   I   would   say   information   plays   a   huge   part   in   terms   of   driving   people's   motivation.   Uh,   we   talked   about   schedule,   we   talked   about   equipment,   but   I   think   motivation   has   that   Venn   diagram   with   the   information   that   Meta   already   has.   So,   I   think   that   is   the   pinpoint   that   we   can   probably   build   something   quickly   to   address.  
**Interviewer:** I   know-  
**Candidate:** Uh,   yes.  
**Interviewer:** ...   that   makes   a   lot   of   sense.   I   know   we   touched   about   this   before,   but   do   you   think   there   are   opportunities   here,   um,   in   terms   of   the   pain   points,   in   terms   of   motivation?   Do   you   think   that   there's   an   opportunity,   or   let   me   rephrase   this.   How   do   you   think   this   might   impact   the   emotional   connection   that   people   using   Meta   have   with   Meta?  
**Candidate:** Hmm.   I   think   em-   emotional   connection   could   be   elevated,   and   I   think   that   could   strengthen   the   engagement,   because   most   Meta   users   were   Facebook   or   Instagram   or,   uh,   WhatsApp   users   use   the   product   for   very   specific   purpose,   like   browsing   people's   activity.   If,   um,   we   are   able   to   unlock   the   motivation   by   providing   the   right   information   at   the   right   time,   I   think   the   emotional   connection   could   be   boosted   because   not   only,   um,   their   activity   is   just   around   passively   browsing   people's   feed   or   images,   uh,   but   it's   also   about   having   a   shared   experience.   And   I   think,   like,   fitness   is   a   shared   experience,   um,   that   could   motivate   other   people.   So,   emotional   connection,   I   definitely   see   it   trending   upwards   with   the   fitness   add-on.  
**Interviewer:** I   love   that   you   bring   up,   like,   the   shared   experiences   for-   of   it,   because   I   think   it   really   ties   to   Meta's   mission   very   nicely.  
**Candidate:** Yeah,   yeah.   Like,   when   I   see   a   friend   working   out   and   building   a   six-pack,   I   wanna   do   that   too.   Like,   it's   the   season   of   New   Year   resolution.  
**Interviewer:** (laughs)  
**Candidate:** One   person   influencing   one   another   and   we   all   get,   like,   six-packs,   right?  
**Interviewer:** Yes,   exactly.   Okay.  
**Candidate:** Cool.  
**Interviewer:** What   do   you   wanna   do   next?  
**Candidate:** Ah,   okay.   Uh,   so   tying   back   to   the   solution   that   could   solve   for   that   motivation   and   boost   emotional   connection   using   what   we   already   have   in   the   Meta   portfolio,   uh,   I   think   couple,   like,   low-hanging   fruit   ideas   that   I   had,   one   is   around,   like,   reminder.   Like,   we   touched   on,   there's   so   much   information,   there's   so   many   notification   going   out,   but   I   think   related   to   fitness,   if   we   could   serve   some   sort   of,   like,   front   and   center,   uh,   pop-up   at   the   time   someone   needs   to   work   out,   that   could   be   a   really   good,   uh,   habit   formation   to   motivate   people   it's   time   to   work   out.   Uh,   I   think   tying   back   to   the   connection   piece,   another   idea   could   be   forming   some   sort   of   a   social   workout   group.   So,   if   I   know,   uh,   I   live   in   Washington,   DC,   there   are   people   in   the   same   area,   similar   age,   all   are   interested   in   developing   some   sort   of   a   healthy   habit,   we   could   form   a   group   and   start   working   out.   And   I   think   that   goes   back   to   the   emotional   connection.   Like,   I'm   no   longer   working   alone,   I   am   working   out   with   other   people.   So,   I   think   that   kind   of   a   motivation   could   be,   like,   double   or   quadrupled.   Um,   the   third   idea   that   I   had,   um......   is   probably   related   to   the,   hmm,   the   personalization,   motivation,   um,   aspect.   I   think   because   Meta   is   investing   heavily   in   the   AR/VR   space,   with   the   information,   the   social   graph,   it   is   possible   to   build   out   some   sort   of,   like,   personalized   experience   that   can   be   experienced   through   AR/VR   platform.   Um,   maybe,   like,   when   I   put   the   headset   on,   um,   it's   knowing   my   brain   waves   or   my,   my,   my,   my   heartbeat,   and   then   suggest   the   best   kind   of   workout   at   the   moment.   So,   in   terms   of,   like,   these   kind   of   three   ideas,   um,   I   definitely-  
**Interviewer:** B-   Before   you   go   into   prioritization-  
**Candidate:** Absolutely.  
**Interviewer:** ...   I   have   a   few   questions   for   you.  
**Candidate:** Sure.  
**Interviewer:** I   love   your   ideas.   When   you're   thinking   about,   for   example,   like   that   front   and   center   notification   that   you   meant,   and   thinking   about,   like,   that   social   network   group,   are   there   opportunities   to   connect   these   together   to   kind   of   like,   maybe   you   don't   need   to   schedule   in   advance.   Like,   are   there   any   other...   Do   you   see   any   opportunity   here   to   kind   of   like   bring   these   together   a   bit?  
**Candidate:** Absolutely.   Um,   absolutely.   I   think   there   lies   in   our   part   about   personalized,   uh,   preference,   and   I   think   Meta   is   really   good   at   that,   um,   as   part   of   either,   like,   onboarding   or   activation   flow.   Uh,   Meta   could   also   pass   how   do   people   want   to   work   out.   Do   they   like   to   work   out   by   themselves   or   do   they   like   to   work   out   alone,   a-   among   other   people?   So,   I   think   those   two   pieces,   uh,   can   definitely   connect   the   notification   and   then   the   social   group   aspect.  
**Interviewer:** So,   let's   say...   Let   me   play   this   out   for   you   a   bit.   Let's   say-  
**Candidate:** Okay.  
**Interviewer:** ...   I   know   that   you,   Eveline,   like   to   work   out   in   a   group.   And   let's   say   I   know   that   your   friend,   Lisa,   is   just   about   to   go   on   a   run   in   15   minutes.   How   does   this   connect   for   you?  
**Candidate:** Yeah.   Yeah.   I   love   that   how,   I   love   how   it   plays   out.   If   I   see   Lisa   is   going   out   for   a   run,   and   I'm   just   having   a   sluggish   day,   and   I   get   a   notification   saying,   "Hey,   your   friend   is   going   for   a   run.   Would   you   like   to   join   her?"   To   me,   that   kind   of   a   emotional   booster   that   we   talked   about   is   probably   going   to   help   me,   like,   get   out   of   my,   like,   "Oh,   I'm   having   a   sluggish   day,"   and   then   just   put   on   my   shoes   and   join   Lisa.   So,   I   think   those   two   definitely   could   be   a   sequence,   one   leading   to   another.   Um,   so,   yeah,   I   think   that   could   play   out   really   well.  
**Interviewer:** On   the   flip   side   of   it,   what   do   you   think   is   the   bis-   the   big   risk   of   this   approach   of,   like,   letting   you   know   that   Lisa's   going   on   a   run?  
**Candidate:** Uh,   I   think   personalized   data   being   shared   could-  
**Interviewer:** Yeah.  
**Candidate:** ...   be   one   of   the   risks.   I   know   in   the   past,   there's   a   lot   of   concern   and   guardrails   around   which   data   do   people   feel   comfortable   being   shared.   What   if   Lisa   wants   to   go   for   a   run   and   then   all   of   a   sudden,   I   run   down   the   street   and   she   doesn't   even   (laughs)   wanted   to   see   me?   I   d-   I   think   that   will   ruin   Lisa's   experience   a   little   bit.  
**Interviewer:** Hopefully   it   doesn't-  
**Candidate:** So   I-  
**Interviewer:** ...   ruin   her   experience,   but   yeah,   I,   it   might   make   her   a   bit   questioned   and   it   might   be   a   bit-  
**Candidate:** Absolutely.  
**Interviewer:** ...   more   dangerous   than   that   as   well-  
**Candidate:** Creepy   too.  
**Interviewer:** ...   as   well   for   sure.  
**Candidate:** Yeah.  
**Interviewer:** Yeah.   The   creepiness   is   for   sure.   When   you're   thinking   about...   I,   I   love,   I,   I   love   this   idea   of,   like,   thinking   about   how   we   can   motivate   people   to   kind   of   like   let   each   other   know   about   this   and   make   this   a   bit   more   a   social   experience.   When   you're   thinking   about   the   VR/AR   piece   here   and   then   thinking   about   the   social   workout   group.   I   don't   know,   let's   say   it's   a   snow   storm   outside   in,   uh,   in   Boston   and   you   still   have   electricity   but   you're   definitely   not   going   to   the   gym   and   there's   no   way   you're   going   running,   so   how   do   you   think   you   can   tie   these   things   together   as   well?  
**Candidate:** Yeah.   I   love   that   e-   example   because   it   happened   to   me   last   week.   It   was   snowing   really   hard   outside   and   I   would   love   to   go   out.   I   think   in   that   case,   the   AR/VR   makes   a   lot   of   sense   because   it   solves   the,   uh,   motivation   caused   by   external   factors.   If,   if   I   have   a   headset   and   then   if   I   could   build   that   in   as   part   of   like,   "Hey,   it's   six   o'clock.   Time   to   get   up   and   work   out,"   there's   no   excuse   of   not   going   outside   because   I   have   a,   like,   headset   I   could   put   on.   And   then   the   headset   could   s-   recommend   something   that,   uh,   helps   me   work   out   and   stay   healthy.  
**Interviewer:** And   how   would   you   tie   the   social   network   element   here   or,   like,   the   community   piece   here?  
**Candidate:** Yeah.   Uh,   something   I   could   see   us   building   into   is   the   social   element   could   be   the   moment   I   put   my   headset   on,   it's   detecting   that   Eveline   is   online.   And   then   also   simultaneously   seeing   who   else   might   also   be   online,   and   then   all   of   a   sudden   maybe   I   am   running   down   the   virtual   track   with   Lisa   or   Luke   or   whatever.   Um,   I   think   that's   where   things   could   come   together.  
**Interviewer:** Wonderful.   So,   we   have   brainstormed   a   few   solutions.   Some   of   them   you,   you   brought   yourself,   and   some   of   them   you   kind   of   like   brainstormed   a   bit   with   me.   And   thank   you   for   collaborating   with   me   on   this.   What   do   you   think   is   the   most   impactful   solution   here?
**Candidate:** Mm.   Uh,   in   terms   of   impactful   solution,   um,   I   wanted   to   think   about   personalized   experience.   If   a   person   is   a   solo   workout,   then   I   would   say   probably   the   reminder   is   a   low-hanging   fruit.   I   feel   confident   to   build   this   out,   uh,   within   the   time   constraint,   like   six   months,   and   then   get   it   out   and   validate   what   kind   of   impact   it   ha-   has.   But   if   it's-  
**Interviewer:** But-  
**Candidate:** Yes?  
**Interviewer:** ...   if   you   ha-   if   you   see   that   that   has   that   impact   that   you're   looking   for,   what,   what   direction   would   you   wanna   go   into   more?  
**Candidate:** Direction,   number   one,   um,   I   would   try   to   bundle   other   elements.   So,   if   reminder   works   o-   works   great,   then   I   probably,   uh,   would   see   if   there   are   other   social   element   I   could   tie   into,   like   the   social   group   or,   um,   forming   some   sort   of,   like,   competition,   like   friendly   competition,   uh,   with   other   friends.   Uh,   so   at   the   same   time,   everybody   gets,   like,   that   kind   of   a   reminder   to   work   out.   So,   those   are   couple   ideas   that   could   be   bundled   after   early   success   of   the   impact.  
**Interviewer:** Interesting.   Um,   last   question.   I,   I,   this   usually   isn't   part   of   what   I   ask   in   these   interviews,   but   I'm   a   bit   curious.   How   would   you   think   about   bringing   this   to   market?   Like,   what   would   you   try   to   do   in   terms   of,   like,   a   go-to-market   plan   to   start   this?   If   you're,   if   you're   running   a   test,   for   example,   are   you   trying   to   promote   this   test   or   h-   how   are   you   thinking   about   that?  
**Candidate:** Uh,   yeah,   that's   a   great   question.   I   think   maybe   March   is   the   Wellness   Awareness   Month.  
**Interviewer:** Hmm.  
**Candidate:** I   think   that   could   be,   maybe   it's   March,   maybe   it's   April,   I'm   not   sure.   But   there   is   a   month   that's   called   (laughs)   Wellness   Awareness   Month.   I   think   that-  
**Interviewer:** I   did   not   know   that.   Thank   you   for   telling   me.  
**Candidate:** (laughs)  
**Interviewer:** That's   very   creative.  
**Candidate:** I   think   that   could   be   an   opportunity   for   go-to-market.   Um,   and   what   Meta   could   do   is   leveraging   this   kind   of   opportunity,   uh,   to   make   a   splash   in   terms   of,   like,   oh,   like   when   you   log   on   to,   like,   um,   Facebook   or   Instagram,   now   you   can   put   in,   um,   like,   some   sort   of   personalized   request,   um,   if   you   want   to   be   more   active   using   the   social   graph,   using   the   information   we   already   have   about   you,   to   nudge   you   along   the   way   to   set   healthy   habit,   to   motivate   you   to,   I   don't   know,   for   me,   it's   lose   10,   10   pounds   or   something   like   that.   And   then   rest   assured,   Meta   has   a   lot   of   data   that   throughout   the   workout   journey,   um,   that   could   be   a   good,   like,   value   proposition   or   PR,   um,   as   a   go-to   market.  
**Interviewer:** You,   you   bring   a,   a   really   interesting   point   there,   bringing   the   idea   of   weight   loss,   and   Meta's   received   a   lot   of   scrutiny   over,   you   know,   teenage   girls   and   body   image   issues.   How   do   you   handle   that   with   this   kind   of   experience?   You   know,   when   pe-   people   often   tie   fitness   to   weight   loss   and   that   ne-   doesn't   necessarily   play   out   well,   especially   for   teenagers.   How   do   you   ensure   safety   here?  
**Candidate:** I   love   this   question,   and   how   I   would   tackle   it   goes   back   to   our   earlier   point   about   emotional   connection.   I   think   a   lot   of   people   overindex   on   fitness   or   losing   ways   because   they   don't   have   a   good   threshold   to   measure   what   is   healthy.   And   there   are   a   lot   of   false   information   on   social   media.   I   think   what   Meta   could   do   is   leveraging   the   people   beyond   their   immediate   network.   Like,   a   lot   of   teenagers,   they   see   other   teenagers   losing   weight,   so   they   wanted   to   follow   suit.   But   what   Meta   could   do   is   bring   in   more   of   a   trusted   and   authoritative,   um,   voice   to   influence   them   what   health   could   mean,   whether   that's   like   BMI   or   whatever.   There   are   multiple   different   ways,   especially   with   the   feed.   Um,   I   think   Meta   could   introduce   that   to   build   that   healthy   balance   and   boundaries   for   those   who   overindex   on   weight   loss.  
**Interviewer:** Cool.   Yeah,   I   think   that's   a   very   good   place   to   end   because   I   think,   uh,   it's,   it's   something   really   important   to   think   about.   How   do   you   make   sure   this   is   a   safe   experience   that   doesn't,   uh,   cause   more   harm   than   good?   So,   thanks   for,   um,   thinking   through   this   with   me.   Okay,   uh,   let's   do   a   quick   debrief.   Um,   Eveline,   how   do   you   think   this   felt?   Or   how   do   you   think   this   went?  
**Candidate:** I   had   a   lot   of   fun,   and   I   think   that's   the   (laughs)   essence   of   Product   Sense,   right?   Like,   it   doesn't   feel   like   you   ask   me   a   question   and   I   have   to   go   through   the   circle   framework   or   whatever,   or   use   RICE   framework.   It   felt   like   a   collaborative   brainstorming   process,   which   I   really   like.   Uh,   I   think   I   get   a   little   bit   sidetracked   in   terms   of,   like,   connecting   all   the   pieces   together.   Like,   at   one   hand,   we   are   talking   about   emotional   connection,   and   then   there's,   like,   the   information   overload.   I   think   going   back   to   Meta's   portfolio,   it   just,   there   are   so   many   things   I   need   to   consider.   Um,   so   I   think   that's   probably   one   of   the,   like,   feedback   I   would   give   myself,   to   really   clarify......   which   existing   portfolio,   how   that   ties   back   to   the   pinpoints   and   user   pinpoints,   and   then   how   does   that,   like,   drive   the   overall   outcome   that   we   wanted   to   achieve,   whether   that's   daily,   weekly,   or   whatever,   active   users.  
