Problem: grow Airbnb experiences
Problem Type: Strategy
Firm: Airbnb
**Candidate:** ...   you   search   for   experience,   it   gives   you   your   results.   Actually,   I   don't   think   you   even   search   for   it.   You   just   browse   experiences   and   then   you,   like,   click   through   them,   view   a   page,   check   out,   and   then,   you   know,   get   your   information,   and   then   you   attend   the   experience.   Like,   is   that-  
**Interviewer:** Yep.  
**Candidate:** ...   like,   the   path   you   take?  
**Interviewer:** So,   yeah,   that   is,   that   is   right   with   one   small   exception.   I   think   the,   the   way   the   Experiences   sort   of   homepage   is   laid   out   is   that,   you   know,   there's,   like,   all   these   tiles   of   different   Experiences,   and   I   think   categories   of   experiences   you   could   do.   I   think   you   also   can   search   through   them.   So   I   don't   think   ...   it's   not   that   search   isn't   available,   um,   but   it,   it   may   not   be,   like,   the   prominent   way   it's   focused   or   the-  
**Candidate:** Okay.  
**Interviewer:** ...   prominent   way   that   people   discover   Experiences.  
**Candidate:** Okay.   And   again,   given   the,   the   fact   that   in   the   original   question   we   talked   about   as   my   manager,   you're   saying   that,   "We   already   think   that   it's   a   great   product   so   we're   not   particularly   worried   about   rearranging   the   presentation   or   results,   or   optimizing   the   search   or   the   checkout   or   anything,   but   we're   really   trying   to   drive   traffic   to   something   that   we're,   we   know   is   already   good   rather   than   optimizing   the   other   parts   of   the   product   process   itself."  
**Interviewer:** Yeah,   so,   so   what   we   know   is   we've   done   a   lot   of   user   research   on   folks,   the   customers   (laughs)   that   have   already   booked   a-   and   done   Experiences,   and   the   NPS   from   those   users   is,   is   very   high.   Um,   like,   people   say   great   things,   like,   the,   the   average,   uh,   rating   on   Experiences   is,   is   very   high.   So   people   are   having   a   good   experience.   Like,   they're   saying   positive   things.   Um,   and   then   the   other   thing   ...   So   that's   like   the   user   research   and,   like,   people   that   have   booked   Experiences   are   happy.   So   that's-  
**Candidate:** Okay.  
**Interviewer:** ...   that's   the   first   thing.   The   second   thing   the   team   has   learned   is   that   one   of   your,   your   counterparts   in   the   PM   team   has   done   some   analysis   looking   at,   okay,   like,   you   know,   once   someone   discovers   Experiences   and   they're,   like,   poking   around,   that,   like,   their,   their   sort   of   progression   through   the   funnel   from,   like,   discovering   an   Experience   to   actually   booking   an   Experience   and,   like,   you   know,   attending   it,   et   cetera,   is   pretty   strong.   Like-  
**Candidate:** Mm-hmm.  
**Interviewer:** ...   we   have   a   lot   of,   of   data   on   the   lodging   side   of   the   business   of,   like,   what   that   looks   like-  
**Candidate:** Okay.  
**Interviewer:** ...   and   Experiences   compares   pretty   favorably   to   it.   So   the   team   sort   of   feels   like,   "Hey,   customers   are   saying   good   things.   The   people   that   know   about   it   that,   like,   and,   like,   are   looking   for   it   seem   to   sort   of,   like,   go   through   the   funnel   at   a   reasonable   rate."  
**Candidate:** Mm-hmm.  
**Interviewer:** "Um,   so   how   do   we,   how   do   we   just   get   more   of   these   people?"  
**Candidate:** Okay,   so   getting   more   people...   So   it   sounds   like   it   might   be   a   feature   discoverability   issue,   'cause   it   sounds   like   people   who   know   about   it,   doing   great,   they're   like   straight   shooting   to   checkout   and   attendance,   and   once   they   attend   they're   ...   It's   a   ...   I'm   making   the   assumption   that   the   churn   is   not   super   high   because   they   have   such   a   great   experience   that   they're   gonna   wanna   come   back   and   continue   to   attend   as   well.  
**Interviewer:** Yeah,   that's   an   interesting   point   that   you   mentioned.   So   on   the   churn   perspective,   yes,   you   can   assume   that,   that,   um,   the   retention   of   these   customers   is   strong   and   that   the,   like,   the   repeat   booking   rate   of   Experiences   is,   uh   ...   Well,   I,   I   don't   have   a   specific   number   but   let's   say   it's   consistent   and   in   line   with   what   we   see   on   the   lodging   part   of   the   business   where   we've   optimized   things   a   lot.   So   again,   the   team   feels   good   that   it's   not   like,   "Hey,   customers   said   the   product   is,   is   great   but,   like,   they   book   once   and   never   come   back."   So   you-  
**Candidate:** Okay.  
**Interviewer:** ...   you   can   ...   Yeah,   you   don't   have   to   worry   about   that.   Um,   and   then   I   think   your   framing   of,   of   featured   discoverability   seems   like   a,   you   know,   a   fair   way   to   think   about   it.  
**Candidate:** Okay.   So   it   sounds   like   there's   a   lot   of   similarities   between,   like,   the   lodging   side   of   things   and   Experiences,   so   it   means,   like,   similar   types   of   users,   similar   types   of   trips,   and   by   types   of   trips   I   mean   like   solo   versus   group   trips.  
**Interviewer:** Hmm.
**Candidate:** And   then   I   gu-   I   guess   the   only   difference   is,   like,   nobody's   doing   virtual   house   bookings.   I   don't   know   if   they   are.  
**Interviewer:** (laughs)  
**Candidate:** But   their   experiences   are   virtual.   But   y-   I   would   say   that,   like,   the   types   of   people   who   are   going   for   Experiences   versus   Lodging   are   similar.   So,   like,   if   we're   trying   to   market   to   these   certain   people,   we   don't   have   to,   like,   take   a   drastically   different   approach   in   terms   of   approaching   Experiences   folks   the   way   that   we   do   with   Lodging.   We   just   have   to   get   more   of   them,   not   do   it   differently.  
**Interviewer:** Yeah,   I   think,   um,   based   off   everything   we   know   internally,   it   doesn't   seem...   We   don't   have   anything   that   indicates   that   these   are   totally   different   segments   of,   of   users.   Like,   it   seems   like   it's   the   same,   same   folks   from   everything   we   know.  
**Candidate:** Okay.   Cool,   cool.   I   would   say   those   are   all   of   my   clarifying   questions.  
**Interviewer:** Okay.  
**Candidate:** I'm   gonna   kind   of   go   through   my   ideas   of   how   I'm   thinking   about   different   solutions   for   driving   top-of-funnel   growth   of   users.  
**Interviewer:** Okay.  
**Candidate:** Um,   so   if   you   could   give   me   a   moment   to   do   that,   please.  
**Interviewer:** Sure.  
**Candidate:** Thank   you.   Okay,   so   kind   of   based   off   of   the   things   that   you've   said,   I've,   I've   come   up   with   solutions   kind   of   directly   related   to   the   things   that   you've   already   mentioned   that   have   been   super   helpful.  
**Interviewer:** Okay.  
**Candidate:** So   for   one,   we're   thinking   about   top-of-funnel   growth.   And   you   mentioned   that   once   people   are,   like,   in   the   search   experience   of   Airbnb   Experiences,   they're   like   a   straight   shoot   to   attending   an   experience   and   having   a   great   time.   And   so   for   me,   the   way   that   I'm   thinking   about   is,   like,   you   enter   the   Airbnb   app   and,   like,   we're   not   having   a   problem   with   people   discovering   lodging.   And   that's   kind   of,   like,   how   Airbnb   primarily   started.  
**Interviewer:** Yeah.  
**Candidate:** But   now   Experiences   was   this   new   feature   that   was   introduced   on   top   of   that,   and   I   think   that   there   might   be   a   discoverability   issue.   Like,   the   last   time   I   checked   Airbnb,   there's   no   Experiences   tab.   It's   kind   of   like   you   have   to   scroll   down   and   figure   out   that   the   experiences   are   part   of   it.   Versus   if   you   have,   like,   a   mental   framework   of   thinking   about   Airbnb   as   booking   houses,   and   you   go   on   the   app   to   book   a   house,   and   you   see   the   search   bar,   put   in   your   date,   I   doubt   that   people   are   even   getting   as   far   down   the   page   to   discover-  
**Interviewer:** Hmm.  
**Candidate:** ...   the   Experiences   section-  
**Interviewer:** Okay.  
**Candidate:** ...   and   then   began   to   that.   So   I,   I   think   one   way   to   address   that   is   by   adding   a   tab   separately   instead   of   having   people   scroll   down   for   Experiences.   And   like,   when   you   introduce   that   tab,   even   doing   like   a,   a   nudge   or   like   some   kind   of,   "Ooh,   look   at   this   shiny   new-"  
**Interviewer:** Hmm.  
**Candidate:** "...   tab   thing,"   to...   So   that   people-  
**Interviewer:** Some   visual   flair.  
**Candidate:** Yeah,   some   visual   flair.   'Cause   I've   noticed,   uh,   when   a   lot   of,   like,   software   products   introduce   something   new,   they'll,   like,   have   a   pop-up   bubble   or   they'll   have   some   kind   of   onboarding   experience   to   say   like,   "Hey,   we've   added   this   feature,   and   this   is   how   it   works,   and   you   should   check   it   out."   Because   when   you   just,   like,   silently   introduce   it,   I   don't   think   it   will   be   as   effective   as   if   you   direct   attention   towards   it-  
**Interviewer:** Okay.  
**Candidate:** ...   and   you   have   a   separate   tab.   So   that's   one   way   that   I'm   thinking   about   that.   I   think-  
**Interviewer:** Okay.  
**Candidate:** ...   that   assumes   that   people   aren't   scrolling   down   the   page.   I   think   in   order   to-  
**Interviewer:** Yeah.  
**Candidate:** ...   kind   of   validate   whether   that   is   a   reasonable   direction   to   go   in,   I'd,   I'd   need   to   know   kind   of,   like,   how   the   data   on,   like,   how   far   people   get   down   the   page.   'Cause   let's   say   in   this   universe,   for   some   reason,   100%   of   people   scroll   all   the   way   down.  
**Interviewer:** Yeah.  
**Candidate:** And   we're   assuming   they   actually   see   that,   that   maybe   that's   not   the   best   choice   there.  
**Interviewer:** Got   it.   So   if   I,   if   I   were   like,   "Hey,   we've,   we've   got   some   data   that   says   98%   of   people   actually   scroll   to   the   bottom   and   see   everything   on   the   page,"   you'd   be   like,   "Okay,   maybe,   maybe   this   isn't   the   right   path   to   go   down"?  
**Candidate:** Yeah,   I'll,   I'll   say   that   the   page   itself   is   presenting...   I   mean,   I'll   probably   still   do   some   user   testing.  
**Interviewer:** (laughs)  
**Candidate:** Like,   people   scroll,   but   they   don't   necessarily   see   everything.   So   like,   "Hey,   did   you   notice   this   feature?"   So   like,   I'll   do   user   testing   to   confirm   that   and   then   also   have   the   data   to   say,   "Oh,   people   actually   see   it   there,   so   that's   not   the   problem   in   the   app."  
**Interviewer:** Okay.  
**Candidate:** And   then   I'll   try   to   think   about   different   avenues   besides   just   the   apps   UI   to   direct   traffic   to   Experiences.  
**Interviewer:** Okay.  
**Candidate:** So   that's,   that's   one   part   of   it.  
**Interviewer:** Yeah.  
**Candidate:** And   then   another   part   of   it   that   you   had   addressed   is   the   fact   that   the   lodging   side   of   Airbnb   is   doing   great.   Like,   they're,   they're...   They've   lived   their   best   life.   They've   been   in   the   game-  
**Interviewer:** (laughs)  
**Candidate:** ...   for   a   really   long   time.   And   so   I   kind   of   would   want   to   build   Airbnb   Experiences   growth   off   of   that.  
**Interviewer:** Mm-hmm.  
**Candidate:** Like,   if   we   already   have   a   successful   lodging   business,   I   think,   for   example,   let's   say   someone   books   a   home,   and   they   get   taken   to   a   tour,   tour...   Sorry,   we're   gonna   Redfin.   Tour   confirmation   is   like   a   default   page.  
**Interviewer:** (laughs)  
**Candidate:** They   get   taken   to   a   home   confirmation   page,   and   then-  
**Interviewer:** Yeah.  
**Candidate:** ...   they   also   receive,   like,   a   home   confirmation   text.   They   also   receive   a   home   confirmation   email.   There's...   Think   of   it   as   an   upsell   basically.   These   people   who   are   already   coming   to   Airbnb   for   the   business   of   lodging   can   then   be   directed   to   the   Experiences.  
**Interviewer:** Yeah.  
**Candidate:** And   you   kind   of   mentioned   this   during   the   question.   You   talked   about,   "Oh,   I'm   not...   I'm   the   PM   for   Experiences.   People...   I'm   not   focusing   on   what,   where   they're   going   to   go.   I'm   going   to   focus   on   what   are   they   going   to   do   when   they   get   there."   So   I   see   this   as   an   opportunity   to   present   people   with,   "What   do   you   want   to   do   when   you   get   here   now   that   you've   booked   this   experience?"   And,   like,   tie   those   things   really...   Once   you   book   this   home-  
**Interviewer:** Yeah,   yeah.  
**Candidate:** ...   so   tie   those   things   really   closely   together.  
**Interviewer:** Got   it.  
**Candidate:** So   that's   another   way   that   I'm   thinking   about   that.  
**Interviewer:** Yeah,   that   makes   a,   that   makes   a   lot   of   sense   to   me.   It's   like,   uh,   you   know,   just   sort   of   moving   along   the,   the   user   journey   with,   with   the   user   themselves,   him   or   herself.  
**Candidate:** Mm-hmm.   Clarifying   questions   on   that   one   before   I   get   to   the   last   solution   that   I   came   up   with.  
**Interviewer:** Okay.
**Candidate:** Do   you   have   any   questions   before   I   move   on?  
**Interviewer:** Oh,   no.   I   mean,   I,   I   don't   have   any   clarifying   questions   on   that.   I,   I,   I   can   see   that   making   perfect   sense.   So   I   think,   you   know,   like   upsells   are   sort   of   a   tried   and   true   mechanic.  
**Candidate:** Mm-hmm.  
**Interviewer:** Um,   logically   makes   sense,   so.  
**Candidate:** Okay.   So   last   thing   is   that   you   also   mentioned   that   once   people   go   on   these   experiences,   like   the,   the   net   promoter   score,   the   NPS   is   like   super   high,   they   have   an   amazing   time.   And   something   that   I   found   really   interesting   about   that   is   like,   okay,   so   people   are   having   a   really   amazing   time   but   somehow   that   isn't   translating   to   growth.   Like   that   isn't   translating   to-  
**Interviewer:** Hm.  
**Candidate:** ...   them   bringing   other   people   into   literally   the   experience.  
**Interviewer:** Yeah.  
**Candidate:** So   I   think   that's   something   that   Airbnb   does   with   their   lodging   is   that   they   have   like   referral   credits,   like   $50   or   something.   It's,   it's   like   a   pretty   solid   amount   of   money   and   I   think   if   people   aren't   incentivized   just   on   the   joy   of   the   experience   alone   (laughs)   to   tell   other   people,   "Hey,   you   should   do   experiences.   I   had   a   really   good   time.   You   should   try   and   check   this   out,"   I   think   that   we   could   add   a   financial   incentive   there   to   give   a   referral   credit   to   people.   It's   like,   oh,   if   you,   if   you   go   on   an   experience   then   you   can   give,   get   money   to   give   someone   else   an   experience   as   well.   And   I   think   that   a   reason   why   I   would   be   willing   to   do   something   like   that   is   that   you   mentioned   the   fact   that   once   people   have   an   experience,   their   retention   is   super   high.   They're   gonna   keep   repeating   bookings.  
**Interviewer:** Yeah.  
**Candidate:** So   when   I'm   thinking   about   customer   acquisition   costs   in   terms   of   this   referral   credit   versus   like   their   lifetime   value,   I'm   making   the   assumption   that   their   lifetime   value   because   they   keep   booking   them   exceeds   whatever   cost   it   is   for   them   to   initially   be   incentivized   to   refer   someone.  
**Interviewer:** Yep.   Got   it.   Yeah.   I   mean,   and,   you   know,   presumably   like   if   you   were   gonna   explore   that   further   like   you   could,   you   could   get   all   that   data.   Like   we   have   an   LTV   number,   you   could   sort   of   do   the   math   and,   and   figure   out   what   does   it   make   sense   to,   to   offer   in   terms   of   a   referral   bonus.  
**Candidate:** Exactly.   Yeah,   so   those   are   the   kind   of   the   three   solutions   that   I'm   thinking   through   there.  
**Interviewer:** Okay.  
**Candidate:** Are   there   questions   based   off   of   that   or   I   can   kind   of   just   talk   about   the   way   that   I   would   prioritize   them?  
**Interviewer:** Yeah.   I,   I,   those   all   make   sense   to   me.   I'd   be   curious,   yeah,   how   you   would   prioritize   them   and   which   one   you   would   ultimately,   uh,   pursue.  
**Candidate:** Okay.   Well,   so   when   I   thought   about   ...   I   kind   of   alluded   to   the   fact   that   if   people   are   scrolling   to   the   bottom   of   the   page   in   the   app,   uh,   that   would   cause   me   to   deprioritize   adding   a   tab   because   discoverability   within   app   is,   doesn't   seem   to   be   the   issue.   It's   about   driving   people   to   get   as   far   as   that.  
**Interviewer:** Yeah.  
**Candidate:** So   having   that   data   and   then   related   is   with   the   upsell   with   the   Airbnb   lodging   business,   I   kind   of   wanna   know   data   of   like   how   many   people   are   viewing   these   confirmation   pages,   how   many   people   opened   these   text   messages   that   we   send,   how   many   people   are   opening   these   emails,   how   many   people   are   engaging   with   these   emails.  
**Interviewer:** Okay.  
**Candidate:** Because   if,   I   don't   know,   for   some   reason   you   confirm   it   and   then   like   all   of   these   surface   areas   that   I   want   to   use   to   upsell   aren't   actually   highly   engaged   with   or   even   highly   viewed   as   much   as   I'm   assuming,   then   that   would   also   cause   me   to   deprioritize   it.   Because   the   way   I'm   thinking   about   like   growth   is   like   the   upper   cap   is   like   100%   of   the   people   who   see   it   can   be   captured   in   like   some-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   imagined   ideal   world.   So   I'd   want   to   know,   okay,   how   many   people   are   seeing   all   of   these   surface   areas   to   know   which   has   like   the   highest   potential,   if   that   makes   sense.  
**Interviewer:** Yeah.  
**Candidate:** And   then   when   it   comes   to   the   net   promoter   score   in   terms   of   like   the   referral   credit,   in   that   case   I'm   kind   of   making   the   assumption   that   all   people   who   have   booked   a   experience   are   then   positive   promoters.   However,   you   had   also   mentioned   that   the   purpose   of   this   is   to   drive   growth   for   experiences   because   it   has   a   lower   number   of   users   than   lodging.   So   I'd   say   if   I   were   to   prioritize   the   three   of   them,   lodging   would   be   at   the   top   'cause   it   sounds   like   even   if   the   net   promoter   score   is   high   for   people   with   experiences,   there   aren't   as   many   people   as   lodging   people.  
**Interviewer:** Mm-hmm.  
**Candidate:** So   their   confirmation   page   or   confirmation   email   I'm   making   the   assumption   has   more   potential   users   to   capture   than   the   referral   credit   would.   And   then   I   would   kind   of   just   need   the   data   about   the   people   scrolling   to   the   bottom   of   the   page   in   the   app   as   well.  
**Interviewer:** Yeah.   Got   it.   Okay.   I,   I   see   what   you're   saying   and,   um,   that   makes   sense   to   me.   Um,   so   let's,   let's   ...   I'll,   I'll   wave   the   magic   wand   here   and   get   you,   get   you   some   data.  
**Candidate:** Okay.  
**Interviewer:** Um,   so   let's   say   that   on   the   homepage   study,   so   how,   how   much   of   the   homepage   above   the   fold,   below   the   fold   do,   do   folks   look   at,   we   basically   find   that,   you   know,   Airbnb   has   these   great   metrics.   Like   everyone   looks   at   everything.  
**Candidate:** (laughs)  
**Interviewer:** They   seem   to,   they   seem   to   notice   stuff   so   it's   not   like   they're   looking   at   the   whole   page   but   they're   blind   when   it   comes   to   the   experiences   section.  
**Candidate:** (laughs)  
**Interviewer:** So   it,   it,   it   seems   like   people   are   seeing   stuff   there.   Um,   uh,   so   that,   we   have,   we   have   that   data.   Uh,   on   the   open   rate,   so   in   terms   of   text   message   confirmations,   email   confirmations,   um,   I   think   those   are   the,   the   two   big   types.   I   guess   there's   probably   push,   push   notifications   as   well.   Let's   say   that   on   average   the   open   rates   are,   are   quite   high,   um,   because   people   have,   you   know,   booked   a   vacation,   they've   booked   lodging.   Um,   we   try   and,   you   know,   do   a   good   job   of   making   those,   those   notifications   very   useful.   We   see   open   rates   of,   you   know,   upwards   of   like   70%,   like   super   high.   Um,   so   that's,   that's   the   data   we   have   there   and   it   varies,   you   know,   depending   on   the   channel   but   you   can   just   assume   a   sort   of   average   across   the   board   is,   is   very,   very   high.   Uh,   and   then,   um,   the   last   sort   of   bucket   of   things   you   were   looking   at   in   terms   of   the,   you   know,   I   think   you   talked   about   what's   like   the   overall   volume   of   like   people   coming   through,   um,   experiences   today   and   would   be   available,   you   know,   as   potential   people   to   send   out   a   referral   code   versus,   you   know,   lodging.   Um,   your   assumption   is   right.   Like   experience   is   so   much,   experience   is   so   much   smaller   than   the   lodging   business   today   that   that   number   is   just   a   tiny,   you   know,   like-...   single-digit   percentage,   uh,   of   what   happens   on   lodging.   So   I   think   your,   um,   your   assumption   there   is,   is   correct,   that   just   the   volume   of   people   you   would   have   to,   uh,   send   there   is   a   lot   lower.  
**Candidate:** Okay.   A-   and   then   one   more   clarifying   question   related   to-  
**Interviewer:** Sure.  
**Candidate:** ...   what   you   just   said.   So   Airbnb   Experiences   has,   like,   this   really,   really   great   rate   of   once   you   land   on   viewing   the   experiences,   um,   results,   you   basically,   like,   end   up   in   confirmation.   Does   that   happen   similarly   with   lodging?   And   the   reason   why   I'm   asking   is   because   if   all   the   people   scroll   down   the   entire   page   on   the   app   for,   like,   the   lodging   experience,   I'm   making   the   assumption   that   that   is,   like,   a   much   greater   number   than   the   people   who   confirm   booking   lodgings.   So   then   the   way   that   I'm   thinking   about   this   is,   like,   the   people   who   view   the   app   are   the   most,   the   people   who   confirm   the   lodging   are   the   second   most,   and   then   the   people   who   have   a   great   NPS   of   experiences   is   the   smallest   number   of   people.   Does   that   ranking   of   people   volume   sound   reasonable?  
**Interviewer:** Uh,   yeah.   I   mean,   you're   just   sort   of   talking   about,   like,   the   overall   funnel.   Like,   there's   some   people   that   see   it,   there's   people   that   book   it,   and   there's   people   that   have   great   experiences,   and   that   number   whittles   down.  
**Candidate:** Yeah.  
**Interviewer:** So,   yeah.  
**Candidate:** And   I   just   want   to   confirm   that   for   the   lodging,   people   who,   who   book   homes   on   Airbnb,   that   number   is   some   ratio   smaller   than   the   people   who   open   the   Airbnb   app   and   view   this   tab?  
**Interviewer:** Uh,   and   this,   this   tab   being   Experiences?  
**Candidate:** Um,   well,   lodging   and   experiences   on   the   same   tab,   because   you   have   to   scroll   down,   but   we   said   100%   of   people   scroll   down   anyway.  
**Interviewer:** Um,   yes.   So,   uh,   I   think,   I   think,   (laughs)   I   think   I   might   be   missing,   uh,   the,   the   point   of   your   question,   but   you're,   you're   just   asking,   uh,   is   the   total   number   of   people   that   view   lodging...   Or   let,   let   me,   let   me   let   you   rephrase   because   I   think   I'm,   I'm   missing.  
**Candidate:** Yeah.   So-  
**Interviewer:** That's   okay.  
**Candidate:** ...   the,   the   key   here   is   that   I,   I   want   to,   like,   rank   by   volume   and-  
**Interviewer:** Okay.  
**Candidate:** ...   and   I'm   saying   that   the   people   who   view   a   confirmation   page   for   lodging-  
**Interviewer:** Yeah.  
**Candidate:** ...   is   a   much   smaller   number   than   the   people   who   view...   who   open   the   app   and   view   the   page   that   talks   about   experiences   and   lodging.   Whereas   earlier,   you   had   said   that   people   who   view   experiences   basically   are   a   straight   shoot   to   checkout,   and   those   numbers   are   similar.   So   I'm,   I'm   trying   to   make   the   assumption   here   that   for   lodging,   it's   not   similar   and,   like,   a   much   smaller   subsection   of   people   gets   a   confirmation   than   people   who   just,   like,   open   the   app   and   view   it.  
**Interviewer:** Oh,   sorry.   So,   so   what   I   was   saying   earlier   is   that   once   people   are   sort   of   engaged   and,   like,   truly   searching   around   in   Experiences,   like   let's   say   they're,   like,   aware   and   interested   in   discovering   what's   there,   that,   that   those   people   end   up   booking   an   experience   at   the   same   rate   that   you   see   people   on   the   lodging   side   of   the   business   going   from,   like,   looking   and   searching   to   booking.  
**Candidate:** Okay.   Okay.  
**Interviewer:** So,   like-  
**Candidate:** Yeah.  
**Interviewer:** ...   the   way   to   think   about   it   would   be,   like,   say   on,   you   know,   the,   the   lodging   business,   like,   if,   uh,   100   people   show   up   and   start   searching   for   different,   um,   places   to   stay   that,   you   know,   whatever,   like,   10%   of   them   end   up   booking   a   place.  
**Candidate:** Okay.  
**Interviewer:** The   same   thing   is   true   in   Experiences   where   the   people   that   are,   like,   looking   around   at   a   bunch   of   experiences,   like   they're   truly   engaged,   they   know   what's   there,   et   cetera,   10%   of   them   end   up   booking   as   well.  
**Candidate:** Okay,   perfect.   Yeah,   that   answers   my   question.   Okay,   so   given-  
**Interviewer:** Yeah,   okay.  
**Candidate:** ...   that   information,   the   way   that   I'm   prioritizing...   So   the,   the   three   features   were   a   tab   in   the   app-  
**Interviewer:** Yeah.  
**Candidate:** ...   to,   for   people   to   dis-   discover   experiences   rather   than   scrolling   down   the   page,   and   then   upselling   on   the   confirmation   surfaces   for   people   who   book   a   lodging,   and-  
**Interviewer:** Yeah.  
**Candidate:** ...   then   having   a   referral   credit.   And   given   volume,   I'm   prioritizing   by   volume   here,   I   would   say   that   the   Discovery   tab   would   have   the   highest   volume   since   you   said   about   10%   of   engaged   users   book   a   place.   So   that   means   if   I   were   to   prioritize   the   confirmation   page,   I'm   missing,   like,   90%   of   possible   people.   So   I   want   to   prioritize,   like,   the   app   surface   area   first-  
**Interviewer:** Okay.  
**Candidate:** ...   and   then   the   second   from   there   would   be   the   confirmation   surface   areas,   and   then   the   last   one,   because   it   has   the   smallest   volume,   would   be   the   referral   credit   because   there's   such   a   small   base   of   people   who   have   even   had   experiences   in   the   first   place.  
**Interviewer:** Got   it.   Okay.   So   you're   really   gonna   basically   prioritize   based   off,   like,   hey,   like,   we   just   need   more   people   at   the   very   tippy-top   of   our   Airbnb   funnel   to,   like,   start   engaging   with,   with   experiences.  
**Candidate:** Yeah.  
**Interviewer:** And   the   way   to   do   that   is   to,   to,   to   give   them   a   tab   that   really   sort   of   calls   it   out   and,   and   invites   them   in.  
**Candidate:** Yeah.   I   would   also   argue   that   there   would   be   even   more   volume   if   we   introduce   the   tab   because   people   who   book   lodging   are   doing   things   in   person.   The   lodging   is   in   person,   versus   by   having   this   tab   for   discovering   Airbnb   Experiences,   we   open   it   up   to   people   who   aren't   even   booking   something   in   person.   And   so   many   of   these   experiences   are   virtual   as   well,   so   I   think   that   that   presents   the   highest   opportunity   without   relying   on   them   having   booked   lodging   first.  
**Interviewer:** That's   true.   That's   a   good   point,   that   the   experiences,   given   that   there's   a   mix   of   them   that   are   virtual,   are   open   to   a   significantly   bigger   audience.   Yeah.  
**Candidate:** Yeah.  
**Interviewer:** Okay.  
**Candidate:** Yeah,   so   that's   kind   of   how   I'm   prioritizing   it.   And   so   given   that,   we're   gonna   kind   of   move   forward   with   adding   this   Discovery   tab   for   Experiences   to   the   app.   And   the   way   that   I   would   think   about   success   for   that   is   out   of   the   number   of   people   who   use   the   app,   how   many   people......   click   the   tab   when   they...   when   it's   introduced.   So   let's   say   we   introduce   the   tab   with   a   nudge,   um-  
**Interviewer:** Okay.  
**Candidate:** ...   a   nudge   being   like,   "Hey,   here's   this   cool   new   thing,"   I   would   wanna   look   at   data   of,   like,   how   many   people   are   dismissing   that   tab   versus   how   many   people   are   clicking   on...   dismissing   the   nudge   versus   clicking   on   the   tab-  
**Interviewer:** Okay.  
